time_utc,p10,p50,p90
2026-09-17 22:00:00+00:00,148.50,161.02,201.37
2026-09-17 23:00:00+00:00,148.42,159.18,196.13
2026-09-18 00:00:00+00:00,145.11,155.17,193.65
2026-09-18 01:00:00+00:00,143.64,153.70,193.95
2026-09-18 02:00:00+00:00,146.77,156.83,199.19
2026-09-18 03:00:00+00:00,150.57,170.90,201.15
2026-09-18 04:00:00+00:00,172.94,207.68,228.06
2026-09-18 05:00:00+00:00,175.10,225.01,236.91
2026-09-18 06:00:00+00:00,167.46,219.68,229.74
2026-09-18 07:00:00+00:00,127.51,156.24,205.85
2026-09-18 08:00:00+00:00,103.48,113.54,171.19
2026-09-18 09:00:00+00:00,89.87,117.65,163.28
2026-09-18 10:00:00+00:00,81.14,108.23,155.38
2026-09-18 11:00:00+00:00,79.96,108.12,152.70
2026-09-18 12:00:00+00:00,84.35,107.95,155.03
2026-09-18 13:00:00+00:00,108.36,123.54,171.70
2026-09-18 14:00:00+00:00,126.36,150.38,191.36
2026-09-18 15:00:00+00:00,186.10,225.94,277.96
2026-09-18 16:00:00+00:00,207.89,259.64,322.08
2026-09-18 17:00:00+00:00,215.74,276.65,359.06
2026-09-18 18:00:00+00:00,205.96,258.81,303.71
2026-09-18 19:00:00+00:00,185.60,213.97,225.81
2026-09-18 20:00:00+00:00,166.09,187.62,202.02
2026-09-18 21:00:00+00:00,149.15,170.02,186.16
