time_utc,p10,p50,p90
2026-08-29 22:00:00+00:00,92.30,114.96,135.39
2026-08-29 23:00:00+00:00,87.52,110.53,134.08
2026-08-30 00:00:00+00:00,95.70,113.86,134.52
2026-08-30 01:00:00+00:00,96.49,115.62,134.59
2026-08-30 02:00:00+00:00,95.74,117.97,138.75
2026-08-30 03:00:00+00:00,98.14,120.09,139.18
2026-08-30 04:00:00+00:00,103.04,125.54,148.45
2026-08-30 05:00:00+00:00,99.71,120.60,140.43
2026-08-30 06:00:00+00:00,107.66,129.72,146.20
2026-08-30 07:00:00+00:00,85.63,112.46,139.69
2026-08-30 08:00:00+00:00,39.13,83.20,114.03
2026-08-30 09:00:00+00:00,12.89,33.09,87.09
2026-08-30 10:00:00+00:00,-14.04,6.86,72.94
2026-08-30 11:00:00+00:00,-19.61,-9.55,61.56
2026-08-30 12:00:00+00:00,-19.00,-8.94,62.36
2026-08-30 13:00:00+00:00,-8.95,7.44,71.13
2026-08-30 14:00:00+00:00,26.46,73.37,105.21
2026-08-30 15:00:00+00:00,90.61,129.43,153.80
2026-08-30 16:00:00+00:00,134.34,161.38,188.85
2026-08-30 17:00:00+00:00,161.53,192.43,239.80
2026-08-30 18:00:00+00:00,167.84,191.81,240.73
2026-08-30 19:00:00+00:00,148.59,172.76,205.43
2026-08-30 20:00:00+00:00,137.01,171.16,198.29
2026-08-30 21:00:00+00:00,127.19,155.07,171.74
