time_utc,p10,p50,p90
2026-08-23 22:00:00+00:00,13099.1,13271.2,13371.5
2026-08-23 23:00:00+00:00,12538.8,12832.8,12848.4
2026-08-24 00:00:00+00:00,12195.9,12598.8,12607.4
2026-08-24 01:00:00+00:00,12168.5,12627.3,12609.0
2026-08-24 02:00:00+00:00,12345.4,13010.0,12922.0
2026-08-24 03:00:00+00:00,13249.6,13773.3,13672.3
2026-08-24 04:00:00+00:00,15688.1,16175.5,16100.5
2026-08-24 05:00:00+00:00,17520.0,17717.6,17687.8
2026-08-24 06:00:00+00:00,18400.1,18459.9,18519.8
2026-08-24 07:00:00+00:00,18374.6,18958.9,18935.0
2026-08-24 08:00:00+00:00,18168.1,19036.8,19029.2
2026-08-24 09:00:00+00:00,18829.3,19008.9,19328.8
2026-08-24 10:00:00+00:00,18903.8,18889.2,19927.4
2026-08-24 11:00:00+00:00,18992.2,18912.5,19964.3
2026-08-24 12:00:00+00:00,18914.1,19500.8,19930.7
2026-08-24 13:00:00+00:00,19346.1,19895.4,19863.9
2026-08-24 14:00:00+00:00,18667.4,19679.5,20241.3
2026-08-24 15:00:00+00:00,19102.2,19679.8,20562.3
2026-08-24 16:00:00+00:00,18928.8,19547.4,20937.0
2026-08-24 17:00:00+00:00,19152.7,19640.3,20607.4
2026-08-24 18:00:00+00:00,19020.1,19703.0,20313.0
2026-08-24 19:00:00+00:00,18315.1,18402.7,19357.9
2026-08-24 20:00:00+00:00,16952.5,16967.4,17844.5
2026-08-24 21:00:00+00:00,15589.6,15897.8,16403.3
