time_utc,p10,p50,p90
2026-07-22 22:00:00+00:00,124.65,138.30,154.58
2026-07-22 23:00:00+00:00,116.65,130.34,145.83
2026-07-23 00:00:00+00:00,108.81,121.46,135.62
2026-07-23 01:00:00+00:00,107.77,120.49,134.49
2026-07-23 02:00:00+00:00,108.89,121.41,135.54
2026-07-23 03:00:00+00:00,111.31,125.05,139.80
2026-07-23 04:00:00+00:00,115.53,134.23,159.66
2026-07-23 05:00:00+00:00,113.47,135.04,162.32
2026-07-23 06:00:00+00:00,99.02,118.02,141.24
2026-07-23 07:00:00+00:00,69.23,92.77,114.06
2026-07-23 08:00:00+00:00,36.23,70.38,96.32
2026-07-23 09:00:00+00:00,17.52,61.24,90.23
2026-07-23 10:00:00+00:00,16.98,58.11,85.88
2026-07-23 11:00:00+00:00,18.07,59.20,86.97
2026-07-23 12:00:00+00:00,28.89,66.52,94.45
2026-07-23 13:00:00+00:00,46.34,77.38,102.45
2026-07-23 14:00:00+00:00,71.71,96.30,117.18
2026-07-23 15:00:00+00:00,84.51,107.57,130.39
2026-07-23 16:00:00+00:00,126.48,153.66,192.98
2026-07-23 17:00:00+00:00,149.57,187.19,254.87
2026-07-23 18:00:00+00:00,144.75,178.54,236.55
2026-07-23 19:00:00+00:00,138.71,164.60,202.10
2026-07-23 20:00:00+00:00,143.18,168.03,198.72
2026-07-23 21:00:00+00:00,131.62,150.89,174.03
