time_utc,p10,p50,p90
2026-09-18 22:00:00+00:00,116.23,127.97,141.34
2026-09-18 23:00:00+00:00,112.48,125.81,139.08
2026-09-19 00:00:00+00:00,105.93,120.36,134.44
2026-09-19 01:00:00+00:00,106.15,120.46,134.39
2026-09-19 02:00:00+00:00,105.82,120.10,133.62
2026-09-19 03:00:00+00:00,107.79,122.81,137.46
2026-09-19 04:00:00+00:00,115.55,132.95,153.27
2026-09-19 05:00:00+00:00,115.58,135.41,162.09
2026-09-19 06:00:00+00:00,87.02,108.43,130.41
2026-09-19 07:00:00+00:00,64.78,92.76,118.04
2026-09-19 08:00:00+00:00,45.00,79.41,106.84
2026-09-19 09:00:00+00:00,9.12,55.71,87.81
2026-09-19 10:00:00+00:00,-7.25,45.26,80.73
2026-09-19 11:00:00+00:00,-24.52,35.22,75.62
2026-09-19 12:00:00+00:00,16.55,57.19,90.60
2026-09-19 13:00:00+00:00,52.38,84.06,111.00
2026-09-19 14:00:00+00:00,83.46,110.18,136.62
2026-09-19 15:00:00+00:00,129.84,158.08,194.26
2026-09-19 16:00:00+00:00,166.05,210.29,281.45
2026-09-19 17:00:00+00:00,194.42,246.15,350.19
2026-09-19 18:00:00+00:00,178.24,223.45,303.51
2026-09-19 19:00:00+00:00,151.77,180.14,219.95
2026-09-19 20:00:00+00:00,138.07,159.49,185.89
2026-09-19 21:00:00+00:00,126.85,146.00,169.26
