time_utc,p10,p50,p90
2026-07-15 22:00:00+00:00,15198.2,15016.1,16192.7
2026-07-15 23:00:00+00:00,14563.0,14403.2,15464.0
2026-07-16 00:00:00+00:00,14178.2,14050.7,15124.9
2026-07-16 01:00:00+00:00,14062.1,13911.3,14954.4
2026-07-16 02:00:00+00:00,14162.0,14058.2,14844.8
2026-07-16 03:00:00+00:00,14806.3,14663.3,15566.8
2026-07-16 04:00:00+00:00,17059.7,16926.5,18219.5
2026-07-16 05:00:00+00:00,18513.5,18315.4,19755.9
2026-07-16 06:00:00+00:00,19071.4,18898.3,20099.3
2026-07-16 07:00:00+00:00,18780.2,18534.3,19891.2
2026-07-16 08:00:00+00:00,18653.2,18483.9,19603.5
2026-07-16 09:00:00+00:00,19110.5,18825.6,19997.9
2026-07-16 10:00:00+00:00,19720.9,19559.3,20270.9
2026-07-16 11:00:00+00:00,19686.7,20264.1,20302.9
2026-07-16 12:00:00+00:00,19318.3,19092.7,20031.8
2026-07-16 13:00:00+00:00,19256.4,19168.7,20385.6
2026-07-16 14:00:00+00:00,19232.4,19156.2,20623.6
2026-07-16 15:00:00+00:00,19329.1,18998.7,21078.0
2026-07-16 16:00:00+00:00,19820.3,19437.3,21644.5
2026-07-16 17:00:00+00:00,20063.1,19734.1,21714.5
2026-07-16 18:00:00+00:00,19818.2,19488.5,21292.5
2026-07-16 19:00:00+00:00,19024.9,18714.9,20341.8
2026-07-16 20:00:00+00:00,17762.5,17480.2,19154.5
2026-07-16 21:00:00+00:00,16421.0,16266.6,17532.1
