time_utc,p10,p50,p90
2026-08-03 22:00:00+00:00,14478.2,14421.6,15296.8
2026-08-03 23:00:00+00:00,13772.0,13742.0,14693.7
2026-08-04 00:00:00+00:00,13411.0,13400.1,14198.6
2026-08-04 01:00:00+00:00,13299.2,13259.9,14189.8
2026-08-04 02:00:00+00:00,13365.3,13343.9,14247.8
2026-08-04 03:00:00+00:00,13896.4,13774.8,15086.1
2026-08-04 04:00:00+00:00,16047.5,16006.0,17312.8
2026-08-04 05:00:00+00:00,17530.3,17476.1,18729.5
2026-08-04 06:00:00+00:00,17777.3,17509.3,19193.1
2026-08-04 07:00:00+00:00,18305.2,17973.7,19514.6
2026-08-04 08:00:00+00:00,17969.8,17686.2,19500.1
2026-08-04 09:00:00+00:00,18397.2,18363.0,19888.1
2026-08-04 10:00:00+00:00,18329.8,18126.4,19871.6
2026-08-04 11:00:00+00:00,18892.2,18836.7,19910.0
2026-08-04 12:00:00+00:00,18318.5,18141.7,19995.8
2026-08-04 13:00:00+00:00,18543.2,18374.9,19916.3
2026-08-04 14:00:00+00:00,18583.2,18483.8,19759.1
2026-08-04 15:00:00+00:00,18828.4,18813.4,20065.6
2026-08-04 16:00:00+00:00,19080.9,19241.2,20405.6
2026-08-04 17:00:00+00:00,19249.7,19297.2,20230.0
2026-08-04 18:00:00+00:00,19242.3,19245.0,19967.9
2026-08-04 19:00:00+00:00,18411.4,18773.6,19223.7
2026-08-04 20:00:00+00:00,17191.1,17348.8,17911.5
2026-08-04 21:00:00+00:00,15753.9,15896.5,16510.1
