time_utc,p10,p50,p90
2026-09-04 22:00:00+00:00,112.84,124.94,138.19
2026-09-04 23:00:00+00:00,106.01,118.59,131.30
2026-09-05 00:00:00+00:00,99.43,113.21,126.60
2026-09-05 01:00:00+00:00,99.61,113.75,126.86
2026-09-05 02:00:00+00:00,100.54,114.40,127.86
2026-09-05 03:00:00+00:00,103.30,117.77,132.20
2026-09-05 04:00:00+00:00,103.40,120.07,138.54
2026-09-05 05:00:00+00:00,101.55,120.26,142.22
2026-09-05 06:00:00+00:00,88.06,110.86,134.61
2026-09-05 07:00:00+00:00,82.11,105.55,129.58
2026-09-05 08:00:00+00:00,72.60,98.39,122.16
2026-09-05 09:00:00+00:00,52.26,83.91,107.83
2026-09-05 10:00:00+00:00,53.10,82.93,105.75
2026-09-05 11:00:00+00:00,49.58,80.93,105.36
2026-09-05 12:00:00+00:00,53.39,81.65,106.79
2026-09-05 13:00:00+00:00,50.67,83.25,108.98
2026-09-05 14:00:00+00:00,66.81,96.59,120.46
2026-09-05 15:00:00+00:00,91.18,114.00,135.08
2026-09-05 16:00:00+00:00,100.47,120.39,143.92
2026-09-05 17:00:00+00:00,107.17,127.37,155.53
2026-09-05 18:00:00+00:00,114.25,134.31,163.62
2026-09-05 19:00:00+00:00,117.74,136.13,159.43
2026-09-05 20:00:00+00:00,118.75,135.13,153.80
2026-09-05 21:00:00+00:00,112.59,128.41,146.32
