time_utc,p10,p50,p90
2026-09-05 22:00:00+00:00,12822.6,13286.3,13608.3
2026-09-05 23:00:00+00:00,12249.6,12534.5,12972.6
2026-09-06 00:00:00+00:00,11995.8,12182.3,12589.7
2026-09-06 01:00:00+00:00,11835.9,11992.6,12375.2
2026-09-06 02:00:00+00:00,11773.7,12162.6,12314.1
2026-09-06 03:00:00+00:00,11621.7,12157.4,12124.8
2026-09-06 04:00:00+00:00,11984.4,12598.0,12529.5
2026-09-06 05:00:00+00:00,12634.9,13277.8,13208.4
2026-09-06 06:00:00+00:00,13109.9,14067.9,13923.7
2026-09-06 07:00:00+00:00,13721.6,14416.1,14308.9
2026-09-06 08:00:00+00:00,14162.9,15319.1,15144.3
2026-09-06 09:00:00+00:00,14417.6,15503.6,15348.8
2026-09-06 10:00:00+00:00,14676.3,15999.1,15743.5
2026-09-06 11:00:00+00:00,14902.4,15995.9,15725.6
2026-09-06 12:00:00+00:00,14925.7,15994.2,15688.9
2026-09-06 13:00:00+00:00,14723.2,15544.8,15388.4
2026-09-06 14:00:00+00:00,14479.5,15745.7,15612.1
2026-09-06 15:00:00+00:00,15132.1,16536.2,16345.1
2026-09-06 16:00:00+00:00,15582.4,16534.4,16491.5
2026-09-06 17:00:00+00:00,15739.0,16529.3,16464.2
2026-09-06 18:00:00+00:00,16039.2,16786.1,16621.4
2026-09-06 19:00:00+00:00,15515.2,16054.8,15974.3
2026-09-06 20:00:00+00:00,14663.6,15093.6,15031.9
2026-09-06 21:00:00+00:00,13758.6,14111.3,14021.4
