time_utc,p10,p50,p90
2026-08-23 22:00:00+00:00,123.31,137.01,152.40
2026-08-23 23:00:00+00:00,118.74,131.95,146.64
2026-08-24 00:00:00+00:00,111.24,125.14,140.07
2026-08-24 01:00:00+00:00,109.12,123.06,136.91
2026-08-24 02:00:00+00:00,109.20,122.86,137.27
2026-08-24 03:00:00+00:00,113.18,128.11,144.05
2026-08-24 04:00:00+00:00,118.73,137.47,161.05
2026-08-24 05:00:00+00:00,111.02,130.38,156.15
2026-08-24 06:00:00+00:00,73.59,99.53,122.22
2026-08-24 07:00:00+00:00,60.64,88.22,113.01
2026-08-24 08:00:00+00:00,28.57,69.16,99.75
2026-08-24 09:00:00+00:00,-33.56,33.39,75.15
2026-08-24 10:00:00+00:00,-46.26,19.45,63.03
2026-08-24 11:00:00+00:00,-51.98,16.56,61.94
2026-08-24 12:00:00+00:00,-19.60,33.95,74.24
2026-08-24 13:00:00+00:00,1.76,51.87,87.02
2026-08-24 14:00:00+00:00,25.91,69.73,97.72
2026-08-24 15:00:00+00:00,84.16,108.29,129.49
2026-08-24 16:00:00+00:00,136.71,167.65,216.44
2026-08-24 17:00:00+00:00,188.56,246.68,355.56
2026-08-24 18:00:00+00:00,187.76,244.79,338.98
2026-08-24 19:00:00+00:00,163.30,198.45,250.24
2026-08-24 20:00:00+00:00,149.57,175.79,209.03
2026-08-24 21:00:00+00:00,135.86,157.35,184.28
