time_utc,p10,p50,p90
2026-07-27 22:00:00+00:00,134.08,149.28,168.12
2026-07-27 23:00:00+00:00,124.92,140.36,158.32
2026-07-28 00:00:00+00:00,120.14,134.79,151.33
2026-07-28 01:00:00+00:00,117.39,131.10,147.13
2026-07-28 02:00:00+00:00,117.25,130.91,146.90
2026-07-28 03:00:00+00:00,116.47,131.55,148.40
2026-07-28 04:00:00+00:00,117.04,136.01,161.39
2026-07-28 05:00:00+00:00,121.49,143.11,173.67
2026-07-28 06:00:00+00:00,107.34,127.53,155.97
2026-07-28 07:00:00+00:00,80.04,101.27,122.99
2026-07-28 08:00:00+00:00,44.91,76.68,101.38
2026-07-28 09:00:00+00:00,25.75,66.00,93.32
2026-07-28 10:00:00+00:00,3.75,48.23,79.40
2026-07-28 11:00:00+00:00,-4.04,43.88,75.93
2026-07-28 12:00:00+00:00,-29.98,29.05,70.92
2026-07-28 13:00:00+00:00,-21.74,33.74,74.32
2026-07-28 14:00:00+00:00,-9.21,47.44,82.78
2026-07-28 15:00:00+00:00,36.24,75.07,101.16
2026-07-28 16:00:00+00:00,103.35,123.36,146.44
2026-07-28 17:00:00+00:00,122.65,146.22,184.21
2026-07-28 18:00:00+00:00,131.93,159.21,204.66
2026-07-28 19:00:00+00:00,134.33,158.16,192.70
2026-07-28 20:00:00+00:00,141.32,165.46,195.84
2026-07-28 21:00:00+00:00,145.38,170.45,202.64
