time_utc,p10,p50,p90
2026-07-16 22:00:00+00:00,15505.8,15418.2,16271.6
2026-07-16 23:00:00+00:00,14709.0,14613.1,15537.3
2026-07-17 00:00:00+00:00,14354.2,14208.0,15162.4
2026-07-17 01:00:00+00:00,14227.7,14090.6,15116.2
2026-07-17 02:00:00+00:00,14422.7,14347.2,15126.5
2026-07-17 03:00:00+00:00,15113.7,15092.9,15929.4
2026-07-17 04:00:00+00:00,17239.1,17270.1,18608.6
2026-07-17 05:00:00+00:00,18609.5,18772.3,20106.7
2026-07-17 06:00:00+00:00,19010.9,19132.2,20248.8
2026-07-17 07:00:00+00:00,19125.0,19071.2,20079.9
2026-07-17 08:00:00+00:00,19453.7,19357.6,20069.0
2026-07-17 09:00:00+00:00,19610.2,19888.0,20810.5
2026-07-17 10:00:00+00:00,19470.6,20459.6,21176.8
2026-07-17 11:00:00+00:00,19468.2,19769.7,20783.9
2026-07-17 12:00:00+00:00,18887.2,18862.1,20742.3
2026-07-17 13:00:00+00:00,18915.3,18800.5,20941.6
2026-07-17 14:00:00+00:00,18652.8,18214.2,21171.5
2026-07-17 15:00:00+00:00,19109.5,19073.3,21543.8
2026-07-17 16:00:00+00:00,19090.4,19380.0,21934.6
2026-07-17 17:00:00+00:00,19431.9,19454.1,21649.8
2026-07-17 18:00:00+00:00,19139.9,19295.7,20873.3
2026-07-17 19:00:00+00:00,18262.1,18549.3,19964.9
2026-07-17 20:00:00+00:00,17172.1,17444.6,18964.8
2026-07-17 21:00:00+00:00,15836.3,16163.0,17464.6
