time_utc,p10,p50,p90
2026-09-23 22:00:00+00:00,126.83,153.05,174.24
2026-09-23 23:00:00+00:00,132.19,157.83,186.95
2026-09-24 00:00:00+00:00,131.74,156.76,184.09
2026-09-24 01:00:00+00:00,131.99,157.00,181.87
2026-09-24 02:00:00+00:00,126.52,145.08,171.56
2026-09-24 03:00:00+00:00,126.61,143.50,175.32
2026-09-24 04:00:00+00:00,162.87,205.97,252.47
2026-09-24 05:00:00+00:00,186.82,250.02,292.13
2026-09-24 06:00:00+00:00,150.81,208.77,267.53
2026-09-24 07:00:00+00:00,117.08,130.80,170.35
2026-09-24 08:00:00+00:00,80.99,119.81,157.00
2026-09-24 09:00:00+00:00,46.33,101.95,128.56
2026-09-24 10:00:00+00:00,41.12,88.32,117.05
2026-09-24 11:00:00+00:00,36.08,86.96,112.96
2026-09-24 12:00:00+00:00,46.20,87.91,111.90
2026-09-24 13:00:00+00:00,85.46,110.01,131.15
2026-09-24 14:00:00+00:00,112.40,145.09,163.72
2026-09-24 15:00:00+00:00,179.18,235.61,285.74
2026-09-24 16:00:00+00:00,209.66,296.21,360.04
2026-09-24 17:00:00+00:00,220.14,317.87,386.70
2026-09-24 18:00:00+00:00,213.45,302.38,374.66
2026-09-24 19:00:00+00:00,182.54,237.00,284.42
2026-09-24 20:00:00+00:00,153.47,184.68,207.39
2026-09-24 21:00:00+00:00,136.70,164.74,181.02
