time_utc,p10,p50,p90
2026-08-04 22:00:00+00:00,124.25,139.38,172.42
2026-08-04 23:00:00+00:00,120.33,132.59,164.55
2026-08-05 00:00:00+00:00,114.20,127.81,148.92
2026-08-05 01:00:00+00:00,115.28,128.25,150.62
2026-08-05 02:00:00+00:00,118.05,133.14,153.48
2026-08-05 03:00:00+00:00,120.22,133.63,158.26
2026-08-05 04:00:00+00:00,122.19,145.07,172.17
2026-08-05 05:00:00+00:00,120.83,143.81,159.62
2026-08-05 06:00:00+00:00,91.38,116.13,145.31
2026-08-05 07:00:00+00:00,67.69,97.82,115.06
2026-08-05 08:00:00+00:00,55.25,106.81,116.87
2026-08-05 09:00:00+00:00,43.37,100.83,112.06
2026-08-05 10:00:00+00:00,35.60,89.23,99.29
2026-08-05 11:00:00+00:00,33.29,78.66,93.23
2026-08-05 12:00:00+00:00,43.48,86.42,98.67
2026-08-05 13:00:00+00:00,54.79,95.80,106.48
2026-08-05 14:00:00+00:00,86.99,115.54,135.66
2026-08-05 15:00:00+00:00,122.10,170.04,203.98
2026-08-05 16:00:00+00:00,166.49,279.47,349.16
2026-08-05 17:00:00+00:00,182.97,311.29,373.49
2026-08-05 18:00:00+00:00,166.25,272.19,351.36
2026-08-05 19:00:00+00:00,153.82,215.33,255.23
2026-08-05 20:00:00+00:00,135.79,169.82,211.40
2026-08-05 21:00:00+00:00,111.17,136.16,152.41
