time_utc,p10,p50,p90
2026-08-11 22:00:00+00:00,134.82,150.58,169.77
2026-08-11 23:00:00+00:00,132.14,147.77,166.64
2026-08-12 00:00:00+00:00,124.25,139.28,157.74
2026-08-12 01:00:00+00:00,122.23,137.60,155.42
2026-08-12 02:00:00+00:00,121.74,136.83,154.92
2026-08-12 03:00:00+00:00,126.75,143.73,163.81
2026-08-12 04:00:00+00:00,128.48,150.43,180.22
2026-08-12 05:00:00+00:00,127.00,150.19,184.86
2026-08-12 06:00:00+00:00,101.21,122.66,148.24
2026-08-12 07:00:00+00:00,73.76,95.75,117.61
2026-08-12 08:00:00+00:00,10.80,57.35,89.86
2026-08-12 09:00:00+00:00,-41.03,23.89,67.39
2026-08-12 10:00:00+00:00,-70.58,3.09,50.13
2026-08-12 11:00:00+00:00,-80.40,-1.17,49.18
2026-08-12 12:00:00+00:00,-56.74,9.98,58.83
2026-08-12 13:00:00+00:00,-8.51,44.87,82.58
2026-08-12 14:00:00+00:00,36.19,73.89,100.07
2026-08-12 15:00:00+00:00,90.05,112.37,134.28
2026-08-12 16:00:00+00:00,131.70,161.88,206.57
2026-08-12 17:00:00+00:00,188.32,247.51,354.82
2026-08-12 18:00:00+00:00,231.91,317.97,464.01
2026-08-12 19:00:00+00:00,207.61,264.32,352.07
2026-08-12 20:00:00+00:00,153.58,181.77,217.47
2026-08-12 21:00:00+00:00,136.12,156.96,184.34
