time_utc,p10,p50,p90
2026-09-04 22:00:00+00:00,14249.6,15260.5,15432.8
2026-09-04 23:00:00+00:00,13364.5,14696.8,14714.6
2026-09-05 00:00:00+00:00,12901.9,14371.8,14341.3
2026-09-05 01:00:00+00:00,12763.8,14302.5,14207.9
2026-09-05 02:00:00+00:00,12570.3,14108.6,14048.3
2026-09-05 03:00:00+00:00,12274.0,13942.6,13884.4
2026-09-05 04:00:00+00:00,12691.0,14793.2,14713.4
2026-09-05 05:00:00+00:00,13580.7,15685.0,15553.3
2026-09-05 06:00:00+00:00,14463.9,17030.4,16723.1
2026-09-05 07:00:00+00:00,14885.4,17670.4,17251.1
2026-09-05 08:00:00+00:00,15293.6,18102.6,17796.2
2026-09-05 09:00:00+00:00,15606.1,18254.9,17985.9
2026-09-05 10:00:00+00:00,15785.0,18062.4,17738.1
2026-09-05 11:00:00+00:00,15801.4,18162.6,17750.4
2026-09-05 12:00:00+00:00,15466.3,17888.0,17412.4
2026-09-05 13:00:00+00:00,15290.1,17599.9,17203.9
2026-09-05 14:00:00+00:00,15316.9,17065.6,16831.2
2026-09-05 15:00:00+00:00,16039.0,17329.6,17257.3
2026-09-05 16:00:00+00:00,16438.2,17647.3,17526.9
2026-09-05 17:00:00+00:00,16211.2,17332.6,17277.8
2026-09-05 18:00:00+00:00,16307.8,17268.2,17236.3
2026-09-05 19:00:00+00:00,15773.0,16276.1,16685.6
2026-09-05 20:00:00+00:00,14738.7,15225.8,15604.1
2026-09-05 21:00:00+00:00,13678.7,14187.1,14509.5
