time_utc,p10,p50,p90
2026-08-22 22:00:00+00:00,110.09,136.71,176.28
2026-08-22 23:00:00+00:00,107.93,132.87,173.67
2026-08-23 00:00:00+00:00,110.37,129.47,171.14
2026-08-23 01:00:00+00:00,108.52,133.82,155.78
2026-08-23 02:00:00+00:00,106.67,128.56,155.64
2026-08-23 03:00:00+00:00,99.43,129.14,152.33
2026-08-23 04:00:00+00:00,100.50,127.95,155.50
2026-08-23 05:00:00+00:00,98.75,126.25,146.46
2026-08-23 06:00:00+00:00,89.08,117.41,139.89
2026-08-23 07:00:00+00:00,74.21,97.37,113.08
2026-08-23 08:00:00+00:00,26.53,61.26,95.16
2026-08-23 09:00:00+00:00,-5.01,27.27,86.85
2026-08-23 10:00:00+00:00,-14.90,30.95,78.08
2026-08-23 11:00:00+00:00,-22.60,25.20,69.94
2026-08-23 12:00:00+00:00,-25.39,28.20,69.00
2026-08-23 13:00:00+00:00,-18.73,26.44,78.47
2026-08-23 14:00:00+00:00,3.74,71.56,111.31
2026-08-23 15:00:00+00:00,78.74,105.95,141.51
2026-08-23 16:00:00+00:00,109.70,128.13,158.23
2026-08-23 17:00:00+00:00,125.81,144.75,162.47
2026-08-23 18:00:00+00:00,126.19,149.00,165.90
2026-08-23 19:00:00+00:00,118.92,148.04,167.45
2026-08-23 20:00:00+00:00,115.71,146.00,170.78
2026-08-23 21:00:00+00:00,103.72,133.13,170.69
