time_utc,p10,p50,p90
2026-07-31 22:00:00+00:00,147.99,166.66,190.25
2026-07-31 23:00:00+00:00,146.40,167.03,191.49
2026-08-01 00:00:00+00:00,138.99,158.49,180.89
2026-08-01 01:00:00+00:00,136.44,154.80,177.59
2026-08-01 02:00:00+00:00,135.18,152.97,175.08
2026-08-01 03:00:00+00:00,120.40,136.52,154.75
2026-08-01 04:00:00+00:00,104.74,120.61,138.64
2026-08-01 05:00:00+00:00,97.74,115.28,134.98
2026-08-01 06:00:00+00:00,77.44,97.75,118.45
2026-08-01 07:00:00+00:00,46.70,75.95,100.69
2026-08-01 08:00:00+00:00,5.53,51.93,85.29
2026-08-01 09:00:00+00:00,-32.68,29.43,70.05
2026-08-01 10:00:00+00:00,-62.09,7.09,52.08
2026-08-01 11:00:00+00:00,-74.67,1.47,48.95
2026-08-01 12:00:00+00:00,-37.85,21.82,66.74
2026-08-01 13:00:00+00:00,5.57,51.31,84.76
2026-08-01 14:00:00+00:00,54.79,85.14,108.11
2026-08-01 15:00:00+00:00,99.97,120.50,144.56
2026-08-01 16:00:00+00:00,131.59,160.87,204.04
2026-08-01 17:00:00+00:00,155.25,195.28,266.81
2026-08-01 18:00:00+00:00,150.88,187.86,252.66
2026-08-01 19:00:00+00:00,142.71,169.73,209.95
2026-08-01 20:00:00+00:00,141.29,164.83,194.73
2026-08-01 21:00:00+00:00,126.38,145.13,168.08
