time_utc,p10,p50,p90
2026-07-23 22:00:00+00:00,14810.1,15403.0,15979.8
2026-07-23 23:00:00+00:00,14248.8,14841.7,15418.5
2026-07-24 00:00:00+00:00,13880.0,14472.9,15049.7
2026-07-24 01:00:00+00:00,13885.1,14478.0,15054.8
2026-07-24 02:00:00+00:00,13894.9,14487.8,15064.6
2026-07-24 03:00:00+00:00,14420.9,15013.9,15590.6
2026-07-24 04:00:00+00:00,16634.0,17226.9,17803.7
2026-07-24 05:00:00+00:00,18300.5,18893.4,19470.2
2026-07-24 06:00:00+00:00,18887.5,19480.5,20057.2
2026-07-24 07:00:00+00:00,19019.0,19611.9,20188.7
2026-07-24 08:00:00+00:00,19004.9,19597.8,20174.6
2026-07-24 09:00:00+00:00,19351.0,19943.9,20520.7
2026-07-24 10:00:00+00:00,19612.3,20205.2,20782.0
2026-07-24 11:00:00+00:00,19536.0,20128.9,20705.7
2026-07-24 12:00:00+00:00,19154.8,19747.7,20324.5
2026-07-24 13:00:00+00:00,19092.6,19685.5,20262.3
2026-07-24 14:00:00+00:00,19325.4,19918.4,20495.1
2026-07-24 15:00:00+00:00,19220.7,19813.6,20390.4
2026-07-24 16:00:00+00:00,19129.1,19722.0,20298.8
2026-07-24 17:00:00+00:00,19010.0,19602.9,20179.7
2026-07-24 18:00:00+00:00,18834.8,19427.7,20004.5
2026-07-24 19:00:00+00:00,18339.9,18932.8,19509.6
2026-07-24 20:00:00+00:00,17162.8,17755.8,18332.6
2026-07-24 21:00:00+00:00,15777.1,16370.0,16946.8
