time_utc,p10,p50,p90
2026-08-22 22:00:00+00:00,12763.8,12761.3,13758.4
2026-08-22 23:00:00+00:00,12139.6,12329.7,13154.5
2026-08-23 00:00:00+00:00,11865.8,12169.0,12697.8
2026-08-23 01:00:00+00:00,11619.8,11951.1,12494.6
2026-08-23 02:00:00+00:00,11457.3,11891.9,12351.7
2026-08-23 03:00:00+00:00,11414.3,11787.6,12112.3
2026-08-23 04:00:00+00:00,12056.6,12269.0,12437.6
2026-08-23 05:00:00+00:00,12870.5,12867.3,13205.8
2026-08-23 06:00:00+00:00,13345.1,13301.6,13922.1
2026-08-23 07:00:00+00:00,13699.5,13588.4,14477.4
2026-08-23 08:00:00+00:00,14088.3,13974.5,14659.5
2026-08-23 09:00:00+00:00,14383.6,14209.3,14929.5
2026-08-23 10:00:00+00:00,14676.3,14520.2,15279.5
2026-08-23 11:00:00+00:00,14865.0,14842.0,15497.4
2026-08-23 12:00:00+00:00,14929.1,14976.4,15453.0
2026-08-23 13:00:00+00:00,14926.3,15023.6,15278.0
2026-08-23 14:00:00+00:00,15006.4,15300.2,15326.3
2026-08-23 15:00:00+00:00,15473.1,15417.6,15852.3
2026-08-23 16:00:00+00:00,15828.5,15640.6,16427.8
2026-08-23 17:00:00+00:00,15928.3,15795.7,16443.9
2026-08-23 18:00:00+00:00,16135.7,16092.2,16477.3
2026-08-23 19:00:00+00:00,15686.0,15642.9,16353.6
2026-08-23 20:00:00+00:00,14846.1,14828.2,15433.7
2026-08-23 21:00:00+00:00,13805.1,13811.5,14170.3
