time_utc,p10,p50,p90
2026-07-17 22:00:00+00:00,134.82,152.10,172.00
2026-07-17 23:00:00+00:00,124.76,139.87,158.13
2026-07-18 00:00:00+00:00,118.93,134.31,152.55
2026-07-18 01:00:00+00:00,116.78,131.51,148.68
2026-07-18 02:00:00+00:00,119.26,133.83,151.99
2026-07-18 03:00:00+00:00,118.78,134.45,151.95
2026-07-18 04:00:00+00:00,115.69,134.47,161.21
2026-07-18 05:00:00+00:00,109.82,131.93,159.19
2026-07-18 06:00:00+00:00,95.87,113.46,135.41
2026-07-18 07:00:00+00:00,72.09,94.62,115.22
2026-07-18 08:00:00+00:00,48.47,78.53,102.90
2026-07-18 09:00:00+00:00,41.13,75.38,99.95
2026-07-18 10:00:00+00:00,32.50,67.91,92.69
2026-07-18 11:00:00+00:00,35.41,69.89,93.61
2026-07-18 12:00:00+00:00,51.30,80.90,104.18
2026-07-18 13:00:00+00:00,69.71,93.45,115.19
2026-07-18 14:00:00+00:00,83.84,105.85,128.12
2026-07-18 15:00:00+00:00,96.86,118.77,145.37
2026-07-18 16:00:00+00:00,118.44,144.27,183.52
2026-07-18 17:00:00+00:00,135.73,170.82,240.63
2026-07-18 18:00:00+00:00,144.36,177.58,237.22
2026-07-18 19:00:00+00:00,141.68,169.02,210.63
2026-07-18 20:00:00+00:00,138.33,162.41,193.10
2026-07-18 21:00:00+00:00,124.37,143.85,166.35
