time_utc,p10,p50,p90
2026-09-17 22:00:00+00:00,15310.3,15628.2,15594.4
2026-09-17 23:00:00+00:00,14644.5,15134.8,15077.1
2026-09-18 00:00:00+00:00,14311.0,14766.0,14723.8
2026-09-18 01:00:00+00:00,14342.4,14845.7,14793.3
2026-09-18 02:00:00+00:00,14671.3,15183.6,15122.0
2026-09-18 03:00:00+00:00,15133.7,16034.0,15927.9
2026-09-18 04:00:00+00:00,17098.4,18369.5,18294.4
2026-09-18 05:00:00+00:00,18618.1,19885.6,19724.7
2026-09-18 06:00:00+00:00,19181.3,20337.7,20271.7
2026-09-18 07:00:00+00:00,18945.9,20493.5,20388.6
2026-09-18 08:00:00+00:00,18552.5,20561.3,20354.8
2026-09-18 09:00:00+00:00,19069.0,20836.2,20658.8
2026-09-18 10:00:00+00:00,19373.9,21049.6,21008.7
2026-09-18 11:00:00+00:00,19308.0,20857.4,20687.7
2026-09-18 12:00:00+00:00,19158.6,20881.3,20606.3
2026-09-18 13:00:00+00:00,19531.7,20988.3,20776.4
2026-09-18 14:00:00+00:00,20069.3,20913.9,20790.4
2026-09-18 15:00:00+00:00,20162.5,20609.4,20701.2
2026-09-18 16:00:00+00:00,20009.7,20510.9,20593.3
2026-09-18 17:00:00+00:00,19835.9,20878.7,20784.1
2026-09-18 18:00:00+00:00,19904.0,20596.0,20597.9
2026-09-18 19:00:00+00:00,18539.7,19045.7,19033.5
2026-09-18 20:00:00+00:00,17109.2,17647.8,17724.0
2026-09-18 21:00:00+00:00,15967.0,16429.5,16428.3
