time_utc,p10,p50,p90
2026-09-10 22:00:00+00:00,14950.9,15392.9,15478.7
2026-09-10 23:00:00+00:00,14150.0,14942.3,14936.9
2026-09-11 00:00:00+00:00,13776.8,14501.1,14588.0
2026-09-11 01:00:00+00:00,13708.1,14670.8,14635.5
2026-09-11 02:00:00+00:00,14013.6,14978.2,14950.3
2026-09-11 03:00:00+00:00,14217.4,15680.3,15585.9
2026-09-11 04:00:00+00:00,15992.8,18119.3,17862.9
2026-09-11 05:00:00+00:00,17294.9,19349.2,19197.5
2026-09-11 06:00:00+00:00,17617.9,20117.7,19998.6
2026-09-11 07:00:00+00:00,17445.0,20143.6,19849.3
2026-09-11 08:00:00+00:00,17315.6,19873.0,19571.0
2026-09-11 09:00:00+00:00,17791.1,20244.8,19939.2
2026-09-11 10:00:00+00:00,18056.0,20913.4,20463.0
2026-09-11 11:00:00+00:00,18198.6,20291.7,20016.2
2026-09-11 12:00:00+00:00,18067.0,19964.7,19776.5
2026-09-11 13:00:00+00:00,18229.5,20282.1,20120.6
2026-09-11 14:00:00+00:00,18698.0,20502.3,20390.5
2026-09-11 15:00:00+00:00,19191.4,20398.9,20638.0
2026-09-11 16:00:00+00:00,19378.1,20369.9,20551.0
2026-09-11 17:00:00+00:00,19061.1,20351.3,20499.6
2026-09-11 18:00:00+00:00,18977.8,20277.3,20502.3
2026-09-11 19:00:00+00:00,17807.1,18944.7,18986.8
2026-09-11 20:00:00+00:00,16439.5,17756.7,17687.2
2026-09-11 21:00:00+00:00,15253.7,16425.7,16315.6
