time_utc,p10,p50,p90
2026-07-28 22:00:00+00:00,140.79,157.67,179.00
2026-07-28 23:00:00+00:00,129.95,146.43,166.04
2026-07-29 00:00:00+00:00,122.19,137.31,154.41
2026-07-29 01:00:00+00:00,122.52,137.45,155.19
2026-07-29 02:00:00+00:00,122.22,136.72,154.42
2026-07-29 03:00:00+00:00,122.33,138.54,157.11
2026-07-29 04:00:00+00:00,126.37,148.47,179.80
2026-07-29 05:00:00+00:00,132.80,158.96,197.52
2026-07-29 06:00:00+00:00,99.62,118.68,142.98
2026-07-29 07:00:00+00:00,58.77,85.86,109.22
2026-07-29 08:00:00+00:00,2.43,50.07,83.74
2026-07-29 09:00:00+00:00,-27.74,34.10,73.05
2026-07-29 10:00:00+00:00,-62.80,6.43,52.84
2026-07-29 11:00:00+00:00,-61.82,7.82,52.95
2026-07-29 12:00:00+00:00,-47.30,18.19,64.53
2026-07-29 13:00:00+00:00,1.25,49.14,83.76
2026-07-29 14:00:00+00:00,42.52,78.16,102.98
2026-07-29 15:00:00+00:00,78.59,102.80,124.79
2026-07-29 16:00:00+00:00,126.24,153.69,192.22
2026-07-29 17:00:00+00:00,162.78,207.09,287.20
2026-07-29 18:00:00+00:00,174.28,224.71,315.15
2026-07-29 19:00:00+00:00,161.81,197.25,251.57
2026-07-29 20:00:00+00:00,162.87,195.36,237.50
2026-07-29 21:00:00+00:00,150.47,176.81,210.50
