time_utc,p10,p50,p90
2026-08-14 22:00:00+00:00,148.53,167.49,191.04
2026-08-14 23:00:00+00:00,135.60,152.04,171.90
2026-08-15 00:00:00+00:00,127.69,143.42,162.66
2026-08-15 01:00:00+00:00,122.63,138.13,155.74
2026-08-15 02:00:00+00:00,119.55,134.19,151.46
2026-08-15 03:00:00+00:00,114.61,129.38,145.57
2026-08-15 04:00:00+00:00,92.31,109.69,126.67
2026-08-15 05:00:00+00:00,73.48,96.89,116.56
2026-08-15 06:00:00+00:00,45.43,80.05,104.42
2026-08-15 07:00:00+00:00,-0.34,48.98,85.61
2026-08-15 08:00:00+00:00,-66.96,13.02,63.93
2026-08-15 09:00:00+00:00,-112.94,-18.07,42.64
2026-08-15 10:00:00+00:00,-156.17,-49.12,17.67
2026-08-15 11:00:00+00:00,-189.19,-66.96,8.06
2026-08-15 12:00:00+00:00,-113.79,-28.28,35.05
2026-08-15 13:00:00+00:00,-40.71,25.92,71.30
2026-08-15 14:00:00+00:00,25.99,68.07,96.72
2026-08-15 15:00:00+00:00,79.53,103.76,124.37
2026-08-15 16:00:00+00:00,115.56,139.14,170.34
2026-08-15 17:00:00+00:00,135.95,165.61,215.27
2026-08-15 18:00:00+00:00,133.70,161.50,207.46
2026-08-15 19:00:00+00:00,138.31,163.32,198.67
2026-08-15 20:00:00+00:00,129.97,149.67,173.63
2026-08-15 21:00:00+00:00,122.33,139.60,160.97
