time_utc,p10,p50,p90
2026-09-20 22:00:00+00:00,13113.5,13746.7,13679.4
2026-09-20 23:00:00+00:00,12677.1,13268.5,13224.2
2026-09-21 00:00:00+00:00,12457.3,13104.9,13043.3
2026-09-21 01:00:00+00:00,12504.7,13103.5,13081.2
2026-09-21 02:00:00+00:00,12956.6,13683.1,13622.9
2026-09-21 03:00:00+00:00,13850.1,14980.2,14837.3
2026-09-21 04:00:00+00:00,16258.5,17782.2,17620.8
2026-09-21 05:00:00+00:00,17843.8,19281.0,19175.4
2026-09-21 06:00:00+00:00,18306.0,20233.5,19950.3
2026-09-21 07:00:00+00:00,18642.5,20627.6,20278.9
2026-09-21 08:00:00+00:00,18629.8,20457.1,20378.4
2026-09-21 09:00:00+00:00,18857.3,20554.9,20487.4
2026-09-21 10:00:00+00:00,19453.9,21092.2,20834.9
2026-09-21 11:00:00+00:00,19647.7,20759.5,20613.1
2026-09-21 12:00:00+00:00,18912.4,20435.0,20296.9
2026-09-21 13:00:00+00:00,19783.1,20064.0,20132.4
2026-09-21 14:00:00+00:00,19650.4,20159.0,20541.2
2026-09-21 15:00:00+00:00,20033.1,20417.7,20716.3
2026-09-21 16:00:00+00:00,20089.7,20390.1,20650.2
2026-09-21 17:00:00+00:00,20243.9,21118.5,21072.2
2026-09-21 18:00:00+00:00,20353.7,20662.6,20871.2
2026-09-21 19:00:00+00:00,18934.4,19086.1,19243.6
2026-09-21 20:00:00+00:00,17301.9,17813.6,17749.4
2026-09-21 21:00:00+00:00,16008.4,16397.4,16389.7
