time_utc,p10,p50,p90
2026-08-30 22:00:00+00:00,12988.3,12972.5,13272.6
2026-08-30 23:00:00+00:00,12469.4,12495.1,12800.9
2026-08-31 00:00:00+00:00,12165.8,12278.8,12532.8
2026-08-31 01:00:00+00:00,12168.5,12369.3,12549.9
2026-08-31 02:00:00+00:00,12345.4,12820.3,12953.1
2026-08-31 03:00:00+00:00,13249.6,13644.7,13734.8
2026-08-31 04:00:00+00:00,15688.1,16002.1,16123.5
2026-08-31 05:00:00+00:00,17515.8,17575.9,17687.8
2026-08-31 06:00:00+00:00,18065.4,17898.9,18519.8
2026-08-31 07:00:00+00:00,18259.3,18471.4,18935.0
2026-08-31 08:00:00+00:00,18187.7,18593.0,19029.2
2026-08-31 09:00:00+00:00,18819.9,18804.9,19328.8
2026-08-31 10:00:00+00:00,19076.2,19512.5,19927.4
2026-08-31 11:00:00+00:00,19120.1,20258.0,20216.2
2026-08-31 12:00:00+00:00,18953.6,18719.1,19930.7
2026-08-31 13:00:00+00:00,19641.3,19717.4,19863.9
2026-08-31 14:00:00+00:00,19555.8,19502.8,20241.3
2026-08-31 15:00:00+00:00,19761.5,19952.0,20562.3
2026-08-31 16:00:00+00:00,19695.1,20039.6,20937.0
2026-08-31 17:00:00+00:00,19760.6,20041.3,20607.4
2026-08-31 18:00:00+00:00,19798.6,20285.0,20392.0
2026-08-31 19:00:00+00:00,18582.7,19078.8,19380.7
2026-08-31 20:00:00+00:00,17135.0,17526.0,17844.5
2026-08-31 21:00:00+00:00,16012.3,16351.2,16424.8
