model,mae,rmse,rmae,coverage_80_pct
LGBM+CQR,17.83010875652404,28.64017035701036,0.6383855623531701,78.53030816119201
LEAR+CQR,18.464278638957296,32.83842487619221,0.6610912509472716,79.49542837792076
TFT ens-3,19.52238752893318,31.64533966477065,0.6989755649456921,80.90440755580997
Naive 1-day,27.87993283666328,44.04798719622949,0.9982074055375324,53.098543853708094
PatchTST,22.98,,0.823,69.5
