,PC1,PC2,PC3,PC4,PC5,PC6,PC7,explained_var_of_pc
price,0.45394463184221806,-0.4229737210550522,-0.15481990816518396,-0.32677305871397483,-0.11874624778767205,0.6856115795572987,-0.010665705143470516,0.0
load,0.6008342848999695,0.29888297279861664,0.10728021369238934,-0.03332948393866774,0.021788292770224153,-0.19030624401381283,0.7073584916418365,0.0
tso_fcst,0.5988355302124664,0.30364460429573775,0.11056667312662283,-0.004355731548433887,0.05760893561933956,-0.1872780217634945,-0.7060879219578715,0.0
solar_fcst,-0.05207422377148366,0.6068217977928615,-0.4006538199444567,0.438481393172328,-0.0126180736150002,0.5253440601136607,0.01098034922698622,0.0
wind_fcst,-0.09039857558379043,0.11082091142693892,0.8585193271969971,0.12329475972281444,0.22521596122005463,0.4200383939330061,0.011632222957819788,0.0
ttf_gas,0.16805855168138534,-0.30811726290998026,0.1642525587339658,0.6547662286084627,-0.645753522895697,-0.06410109215686573,-0.00397441554280586,0.0
eua_proxy,0.1876196605457524,-0.40510731635060976,-0.16655011534677888,0.5058687548585816,0.7170960550505663,-0.04603970178470598,0.026426896189255575,0.0
explained_var,0.3323993940161622,0.2068020211011849,0.16858859131371967,0.154460857201073,0.10295718712986109,0.03271128747284354,0.0020806617651557336,
