group_removed,mape,delta
none (baseline),2.083023920590391,0.0
weather,2.160342626913838,0.07731870632344728
lags,2.0864422263495364,0.003418305759145479
calendar,2.1152607044812597,0.032236783890868814
tso,4.054018362946754,1.9709944423563628
