,importance_mean,importance_std
tso_forecast_mw,2231.165976073201,37.93537335846631
hour_sin,63.00043326249975,4.298569201207014
shortwave_radiation,44.16564788619293,1.8827675908340338
hour_cos,32.046483796694496,3.323541539847854
load_lag_336h,29.392634234507817,1.333056592263992
hour_local,27.560386304325327,1.6369753007928731
heating_degrees,24.582168202012408,1.4608696467026965
relative_humidity_2m,20.710998898244988,0.822280345934447
load_lag_168h,20.22166910379428,2.3763554150732387
is_weekend,16.08523267186475,1.5504850237350318
day_of_week,5.388930324249242,0.728003764884234
month,5.13201541973753,0.4594804340603455
wind_speed_10m,4.495093530102014,0.5004982582247446
load_lag_48h,4.065996362235637,1.7275196871901484
load_lag_72h,3.2508544077381685,0.41283200048750174
is_holiday,1.7108543191676944,0.7356439621674125
doy_cos,1.5840656189827087,0.164532696464666
is_bridge_day,1.0821061750050744,0.848201605561915
load_lag_672h,0.46040745192402144,0.7747506218809906
load_mean_7d,-0.18689377281327496,0.06074008206187784
load_lag_504h,-0.9405892148897834,0.3485615781282163
doy_sin,-2.5846965735582215,0.4711883792425586
cloud_cover,-3.4425734008386994,0.7362283493783617
cooling_degrees,-5.405075343713506,0.8688786671841036
temperature_2m,-9.921697579593125,2.1026671733661173
