,price,load,tso_fcst,solar_fcst,wind_fcst,ttf_gas,eua_proxy
price,1.0,0.41194044215067527,0.39370581512825453,-0.42472946843874587,-0.3170906682019921,0.1500228202211616,0.22931616167819283
load,0.41194044215067527,1.0,0.9845064780874715,0.10024806734649802,0.01117084714125796,0.09144826535427442,0.06124238406972181
tso_fcst,0.39370581512825453,0.9845064780874715,1.0,0.11666803551481397,0.025413277952925473,0.09305846968792629,0.09071546168993928
solar_fcst,-0.42472946843874587,0.10024806734649802,0.11666803551481397,1.0,-0.19068651983722731,-0.06010466455350129,-0.07207306872847792
wind_fcst,-0.3170906682019921,0.01117084714125796,0.025413277952925473,-0.19068651983722731,1.0,0.05794050475250436,-0.09378703427522415
ttf_gas,0.1500228202211616,0.09144826535427442,0.09305846968792629,-0.06010466455350129,0.05794050475250436,1.0,0.24684611222680342
eua_proxy,0.22931616167819283,0.06124238406972181,0.09071546168993928,-0.07207306872847792,-0.09378703427522415,0.24684611222680342,1.0
