model,mae,rmse,pinball_p10,pinball_p50,pinball_p90,coverage_80_pct,winkler,spike_mae,spike_cover_pct,n_hours,rmae
ens_crps,17.182612753300987,28.418629889942494,4.057601820514663,8.591306376650493,4.484098678388369,83.7872965641953,85.41700498903035,63.858947804930416,49.83050847457628,17696,0.6162760487575496
ens_crps_cqr,17.182612753300987,28.418629889942494,4.003227013754021,8.591306376650493,4.513219446547516,79.87680831826401,85.16446460301538,63.858947804930416,47.68361581920904,17696,0.6162760487575496
ens_equal,17.34150985172542,28.61475263802532,4.104595858340397,8.67075492586271,4.520352685872678,83.93987341772153,86.24948544213076,63.87102405788946,49.94350282485876,17696,0.621975093331387
lgbm_1095,17.35337585360019,28.27620075177233,4.17026340928013,8.676687926800096,4.721276396271126,78.82007233273056,88.91539805551257,63.30892038299492,44.85875706214689,17696,0.6224006824344487
lear_1095,18.03711856067962,34.65573666650359,4.238832725168483,9.01855928033981,4.688058707719797,79.4755877034358,89.26891432888283,72.71898289613655,41.69491525423729,17696,0.6469239758319997
chronos,21.93097731054799,34.78051094571617,5.378409252209653,10.965488655273996,5.517305954662924,79.92766726943941,108.95715209258145,66.9283371578583,51.9774011299435,17696,0.7865821244059342
price_naive_yesterday,27.881357368896925,44.062373426316796,7.32622616693038,13.940678684448462,7.080090564251808,53.09109403254973,144.06316731182187,77.15350847457627,37.06214689265537,17696,1.0
