model,mae,rmse,pinball_p10,pinball_p50,pinball_p90,coverage_80_pct,spike_mae,spike_cover_pct,n_hours,rmae
lgbm_quantile,17.848809002338175,28.663253544809628,4.666482137622059,8.924404501169088,5.575565766257937,51.43592677345538,60.62730255271865,45.08009153318078,17480,0.6383779924173438
lgbm_quantile_conformal,17.848809002338175,28.663253544809628,4.256739734354575,8.924404501169088,4.7886733764873615,78.67276887871853,60.62730255271865,52.17391304347826,17480,0.6383779924173438
lear,18.460772095265447,32.92273204203937,4.272430736855274,9.230386047632724,4.7891457512803015,72.0766590389016,70.95558791318065,49.65675057208238,17480,0.6602653783289328
lear_conformal,18.460772095265447,32.92273204203937,4.364578704526612,9.230386047632724,4.539519536575526,79.49656750572083,70.95558791318065,52.745995423340965,17480,0.6602653783289328
price_naive_yesterday,27.959624570938214,44.19770241813616,7.349529526601831,13.979812285469107,7.097950341819222,53.140732265446225,77.55825800915332,37.07093821510298,17480,1.0
price_naive_week,34.009784610983985,52.86216500166029,7.4176580935354695,17.004892305491992,7.315994515160183,53.68993135011442,92.96434210526314,37.18535469107552,17480,1.2163891730625893
