,lgbm_1095,lear_1095,chronos
2024-07-16,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-07-17,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-07-18,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-07-19,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-07-20,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-07-21,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-07-22,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-07-23,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-07-24,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-07-25,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-07-26,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-07-27,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-07-28,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-07-29,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-07-30,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-07-31,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-01,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-02,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-03,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-04,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-05,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-06,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-07,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-08,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-09,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-10,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-11,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-12,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-13,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-14,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-15,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-16,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-17,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-18,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-19,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-20,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-21,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-22,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-23,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-24,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-25,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-26,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-27,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-28,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-29,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-30,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-31,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-09-01,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-09-02,0.3317349468258032,0.35116408812599276,0.317100965048204
2024-09-03,0.3312779848508856,0.3491242589022622,0.31959775624685227
2024-09-04,0.33111554366780044,0.34257750263145464,0.32630695370074486
2024-09-05,0.33269259131766643,0.3386796059901655,0.328627802692168
2024-09-06,0.3344273722885518,0.3411226310949924,0.32444999661645574
2024-09-07,0.3343400146638977,0.3412492114782063,0.32441077385789596
2024-09-08,0.3349153362449471,0.340620527496646,0.32446413625840687
2024-09-09,0.33531516418957574,0.33799403005040074,0.3266908057600235
2024-09-10,0.3361033446699432,0.33806948213379556,0.3258271731962612
2024-09-11,0.33663102413569923,0.33816483029399763,0.32520414557030314
2024-09-12,0.33724983863051883,0.3379665375794719,0.32478362379000925
2024-09-13,0.33825785664925717,0.33682905570536664,0.32491308764537635
2024-09-14,0.34013987011071095,0.3385270566766921,0.3213330732125971
2024-09-15,0.3401388423325591,0.34003541634082246,0.31982574132661856
2024-09-16,0.34026135976984667,0.3417595346651392,0.3179791055650141
2024-09-17,0.33889519769508375,0.3446768674297725,0.31642793487514376
2024-09-18,0.34225065894235224,0.34333538713202344,0.3144139539256242
2024-09-19,0.342907620458615,0.34386044303515306,0.31323193650623193
2024-09-20,0.34236568434040426,0.3452660186280642,0.31236829703153146
2024-09-21,0.34213875170786834,0.34355771526849677,0.31430353302363495
2024-09-22,0.3420190729675455,0.3429406378308819,0.3150402892015727
2024-09-23,0.34221809153891075,0.3412863419906066,0.31649556647048255
2024-09-24,0.3420244881020301,0.34023959147920024,0.31773592041876947
2024-09-25,0.34476375717796726,0.34115681981604856,0.31407942300598424
2024-09-26,0.34398577253302404,0.34029781355581606,0.31571641391115984
2024-09-27,0.3448832770502332,0.3372407948917775,0.3178759280579894
2024-09-28,0.3436459623509433,0.33477062736683444,0.3215834102822222
2024-09-29,0.34553475721731974,0.33430293798360605,0.3201623047990742
2024-09-30,0.3456215437021576,0.33434588870967946,0.320032567588163
2024-10-01,0.3470615653754001,0.3338706126651744,0.31906782195942546
2024-10-02,0.3471102626646981,0.33229518453501544,0.32059455280028637
2024-10-03,0.34770612493282477,0.33154748556948593,0.3207463894976893
2024-10-04,0.3483186467564871,0.3304379754677975,0.3212433777757154
2024-10-05,0.34983946112718245,0.33040943750662943,0.31975110136618823
2024-10-06,0.3507045697487488,0.332023846553457,0.3172715836977942
2024-10-07,0.3511305611144035,0.332565055665095,0.3163043832205016
2024-10-08,0.3509328365358897,0.33181498834605516,0.31725217511805515
2024-10-09,0.35350848416016817,0.33194218222078287,0.3145493336190489
2024-10-10,0.3546497722284604,0.33108082165386454,0.3142694061176752
2024-10-11,0.3573807823494004,0.3320120987989907,0.3106071188516088
2024-10-12,0.35828674125924664,0.33220098864222253,0.3095122700985308
2024-10-13,0.35979749464069505,0.33219193594886465,0.30801056941044047
2024-10-14,0.36178574967929833,0.33617436377572546,0.3020398865449762
2024-10-15,0.36408022973144694,0.33384211646230183,0.30207765380625123
2024-10-16,0.36545464963455876,0.3325080154069379,0.3020373349585034
2024-10-17,0.365446073579841,0.3337363104803394,0.30081761593981954
2024-10-18,0.3648786515197818,0.3320872778278063,0.3030340706524119
2024-10-19,0.3651871796502894,0.3311930006780796,0.30361981967163104
2024-10-20,0.36490239407492603,0.3310753743923241,0.30402223153274976
2024-10-21,0.36361917186869946,0.32991808700737024,0.3064627411239303
2024-10-22,0.3647771288121639,0.32894447410872185,0.3062783970791143
2024-10-23,0.36539384229281435,0.32646427304612047,0.3081418846610652
2024-10-24,0.3656430255328141,0.32479667816818586,0.30956029629900017
2024-10-25,0.36589854148484724,0.3230099351350807,0.311091523380072
2024-10-26,0.3651431233228536,0.3205088195984235,0.31434805707872304
2024-10-27,0.3647961483636228,0.3216887143677684,0.31351513726860886
2024-10-28,0.3660256832088223,0.32216567053574463,0.31180864625543314
2024-10-29,0.36561455248019104,0.32437903458664813,0.31000641293316084
2024-10-30,0.3656628786406353,0.32742285855806313,0.3069142628013015
2024-10-31,0.36656873431446346,0.32841106042613427,0.30502020525940227
2024-11-01,0.370276366367139,0.3290940929010498,0.30062954073181125
2024-11-02,0.3726823800773557,0.3298559653629679,0.2974616545596763
2024-11-03,0.3730416325587508,0.3348985189392159,0.29205984850203337
2024-11-04,0.37207506400740725,0.3385051023674772,0.28941983362511564
2024-11-05,0.37259140924269907,0.3360654693799342,0.29134312137736673
2024-11-06,0.37420827525949635,0.33334712716732906,0.2924445975731746
2024-11-07,0.37324547431769683,0.33025011892333894,0.2965044067589643
2024-11-08,0.37283998775190635,0.3348570886600875,0.29230292358800614
2024-11-09,0.37130685978547434,0.3373777392883736,0.29131540092615205
2024-11-10,0.3707353666289156,0.33788582740462886,0.2913788059664555
2024-11-11,0.37025006444709496,0.33832127414189606,0.29142866141100904
2024-11-12,0.37000512625829046,0.34025185985378564,0.2897430138879239
2024-11-13,0.36773875853284554,0.3416335716853849,0.2906276697817694
2024-11-14,0.3682064604705073,0.3417973687384761,0.28999617079101664
2024-11-15,0.3705313818608408,0.3435600933450252,0.285908524794134
2024-11-16,0.3714037514503404,0.34397670949905645,0.2846195390506031
2024-11-17,0.3724499262636217,0.34580498512044583,0.2817450886159325
2024-11-18,0.3715859014469656,0.34558520656208586,0.28282889199094846
2024-11-19,0.3712869068579246,0.34416443065262786,0.28454866248944755
2024-11-20,0.37143181088613364,0.34475886575553294,0.28380932335833337
2024-11-21,0.36942132116508963,0.34562096833262423,0.28495771050228624
2024-11-22,0.36771367770881563,0.346025151726332,0.28626117056485234
2024-11-23,0.3671346386417456,0.34807854713472136,0.28478681422353314
2024-11-24,0.36725683544723164,0.34829712331745083,0.2844460412353176
2024-11-25,0.3686630740570856,0.35002529223104084,0.2813116337118735
2024-11-26,0.36903492235900287,0.34856610937238414,0.2823989682686129
2024-11-27,0.36909367733453763,0.3465337197409586,0.2843726029245038
2024-11-28,0.3707992933174115,0.3434893476225514,0.28571135906003703
2024-11-29,0.3731524182180796,0.34421198841667233,0.282635593365248
2024-11-30,0.37179138473324974,0.3453033252425789,0.2829052900241713
2024-12-01,0.37125284640029615,0.34663184189866286,0.282115311701041
2024-12-02,0.37104247044243244,0.34694575156226365,0.2820117779953038
2024-12-03,0.36884412986381765,0.3491026289058321,0.28205324123035036
2024-12-04,0.36880081078339133,0.3490003042570031,0.28219888495960554
2024-12-05,0.36610299645530714,0.34827273098602995,0.28562427255866296
2024-12-06,0.36818717972417697,0.3450325826001179,0.28678023767570526
2024-12-07,0.36771426141460406,0.346671671011851,0.2856140675735449
2024-12-08,0.36710025647113115,0.3459305477893347,0.28696919573953406
2024-12-09,0.36685468685457007,0.3460939115653358,0.2870514015800942
2024-12-10,0.3651685038237366,0.34587452683785985,0.2889569693384036
2024-12-11,0.3654894718819212,0.3462439052507169,0.28826662286736193
2024-12-12,0.36507662374163297,0.34533976093906654,0.2895836153193005
2024-12-13,0.3650453549529453,0.34143598977069406,0.2935186552763606
2024-12-14,0.36157370747488193,0.34444630079539257,0.2939799917297255
2024-12-15,0.3619037116581089,0.3462785759584714,0.2918177123834198
2024-12-16,0.36185579040114313,0.3442171473890711,0.29392706220978576
