model,mae,rmse,mape_pct,pinball_p10,pinball_p50,pinball_p90,n_hours,skill_vs_naive
ridge,386.5477788465362,514.9833917431043,2.159158043358265,94.27292434255452,193.2738894232681,91.59788204585388,17690,0.6144412122351038
lasso_ar,389.340871973691,522.0668553094373,2.1559658846351,96.22661605592027,194.6704359868455,92.43998735411733,17690,0.6116552652987801
tso_forecast,403.4780660260034,545.8822649561721,2.2470992415849267,,201.7390330130017,,17690,0.5975542415715924
seasonal_naive,1002.5650850480499,1530.7841888296352,5.577720868532346,357.2673287689373,501.28254252402496,250.69756196014697,17690,0.0
