model,mae,rmse,pinball_p10,pinball_p50,pinball_p90,coverage_80_pct,n_hours,rmae
lear,20.812277606685875,33.40490559460578,4.976471954412592,10.406138803342937,5.383475471111706,73.41533180778032,17480,0.7443689937209875
price_naive_yesterday,27.959624570938214,44.19770241813616,7.349529526601831,13.979812285469107,7.097950341819222,53.140732265446225,17480,1.0
price_naive_week,34.009784610983985,52.86216500166029,7.4176580935354695,17.004892305491992,7.315994515160183,53.68993135011442,17480,1.2163891730625893
