number,value,datetime_start,datetime_complete,duration,params_batch,params_d_model,params_dropout,params_encoder_hours,params_lr,params_lstm_layers,params_n_heads,state
32,0.1310959905385971,2026-07-17 14:51:43.579144,2026-07-17 14:53:29.701184,0 days 00:01:46.122040,16,64,0.06338544730673457,2016,0.00023384764795271313,1,4,COMPLETE
11,0.131295308470726,2026-07-17 14:18:47.255222,2026-07-17 14:20:06.344765,0 days 00:01:19.089543,64,32,0.05173513854761847,2016,0.0007348960787755477,2,8,COMPLETE
30,0.13154876232147217,2026-07-17 14:48:18.710730,2026-07-17 14:49:57.366812,0 days 00:01:38.656082,16,48,0.11008073666226885,2016,0.0001877884422536277,1,2,COMPLETE
35,0.1317693591117859,2026-07-17 14:57:51.736853,2026-07-17 14:58:37.257252,0 days 00:00:45.520399,32,48,0.14364164121678424,1008,0.00024017216327323066,1,4,COMPLETE
38,0.13180436193943024,2026-07-17 15:00:31.931542,2026-07-17 15:01:42.969210,0 days 00:01:11.037668,32,128,0.07157740565921258,672,0.0005314890053299232,1,4,COMPLETE
1,0.1330104023218155,2026-07-17 13:33:32.424523,2026-07-17 13:36:46.316659,0 days 00:03:13.892136,16,48,0.2872213843133333,672,0.0018043311207136274,1,4,COMPLETE
42,0.13314281404018402,2026-07-17 15:06:44.092404,2026-07-17 15:07:26.023198,0 days 00:00:41.930794,64,32,0.08109269172382012,2016,0.0009963920106618952,1,8,COMPLETE
28,0.1342564970254898,2026-07-17 14:44:22.922366,2026-07-17 14:45:27.017726,0 days 00:01:04.095360,16,64,0.2628243736955946,1008,0.0005742407745668559,2,2,COMPLETE
7,0.1352389007806778,2026-07-17 14:08:30.609615,2026-07-17 14:09:16.559941,0 days 00:00:45.950326,32,128,0.06924497745719825,672,0.00023821841544641322,1,8,COMPLETE
43,0.13564777374267578,2026-07-17 15:07:26.026515,2026-07-17 15:08:08.241069,0 days 00:00:42.214554,64,32,0.06487955082268942,672,0.0006637347798292218,1,8,COMPLETE
15,0.13576583564281464,2026-07-17 14:28:21.224474,2026-07-17 14:29:43.996137,0 days 00:01:22.771663,64,64,0.12822007416638953,2016,0.00034503578861935856,2,8,COMPLETE
36,0.13783718645572662,2026-07-17 14:58:37.260176,2026-07-17 14:58:54.098351,0 days 00:00:16.838175,16,64,0.050287498685254055,336,0.0016985996050200513,1,4,COMPLETE
26,0.13951453566551208,2026-07-17 14:42:46.261359,2026-07-17 14:43:18.376742,0 days 00:00:32.115383,16,32,0.21070498400599716,336,0.0013080619682989238,2,2,COMPLETE
2,0.14079277217388153,2026-07-17 13:47:23.907265,2026-07-17 13:52:06.514232,0 days 00:04:42.606967,32,64,0.09545624180177516,672,0.00017322667470546282,1,4,COMPLETE
3,0.14117781817913055,2026-07-17 13:52:06.519433,2026-07-17 13:52:29.992028,0 days 00:00:23.472595,16,48,0.2872213843133333,672,0.0018043311207136274,1,4,COMPLETE
21,0.14128872752189636,2026-07-17 14:36:00.874840,2026-07-17 14:36:28.304866,0 days 00:00:27.430026,64,32,0.07288534046933602,1008,0.0007703048087232001,1,8,COMPLETE
9,0.1446748822927475,2026-07-17 14:14:23.091222,2026-07-17 14:16:10.930714,0 days 00:01:47.839492,32,48,0.1756697558072154,672,0.00011667435253419288,2,2,COMPLETE
0,0.14729751646518707,2026-07-17 13:27:05.188802,2026-07-17 13:33:32.418715,0 days 00:06:27.229913,32,64,0.09545624180177516,672,0.00017322667470546282,1,4,COMPLETE
