variant,auc,brier,precision_at2,spike_days,n_hours,spike_rate
static_fullwindow,0.9655349903224448,0.03504883515219274,0.7384868421052632,304,17720,0.05
rolling_90d,0.9551710756286791,0.03567778735048952,0.7351973684210527,304,17720,0.05
