model,mae,rmse,pinball_p10,pinball_p50,pinball_p90,coverage_80_pct,winkler,spike_mae,spike_cover_pct,n_hours,rmae
moirai_zs,23.70002912289504,38.26915128440447,5.809081962497266,11.85001456144752,6.604730356428502,77.06359945872802,124.13812318925768,87.6794123693249,42.05186020293123,17736,0.8500313958650244
moirai_cov,24.867822692128627,39.900493549036405,6.270459797712936,12.433911346064313,7.20016912078083,75.49616599007668,134.7062891849377,87.22544514412004,43.51747463359639,17736,0.8919157831200123
price_naive_yesterday,27.881357368896925,44.062373426316796,7.32622616693038,13.940678684448462,7.080090564251808,52.97135769057285,144.06316731182187,77.20610294117647,36.865839909808344,17696,1.0
