feature,pc1_loading
hour_sin,-0.0215814766355369
hour_cos,-0.6086426143290615
doy_sin,0.011892844961846675
doy_cos,-0.20139122728539416
is_weekend,-0.036283470149242214
is_holiday,-0.037723507878251565
is_bridge_day,0.02136942047735138
res_0,0.6460890567388354
res_1,-0.22407299626279678
res_2,5.421010862427522e-20
tso_fcst,0.22307143903609372
price_lag168,-0.26036837847627353
