section,key,metric,value
spread_by_hour_local,19,share_bal_above_da,0.5110533159947984
spread_by_hour_local,20,n_hours,769.0
spread_by_hour_local,20,mean_pln,-3.2167880364109265
spread_by_hour_local,20,median_pln,2.1124999999999545
spread_by_hour_local,20,mean_abs_pln,134.80244473342003
spread_by_hour_local,20,share_bal_above_da,0.5123537061118335
spread_by_hour_local,21,n_hours,769.0
spread_by_hour_local,21,mean_pln,-4.800523407022105
spread_by_hour_local,21,median_pln,3.92999999999995
spread_by_hour_local,21,mean_abs_pln,118.65756501950585
spread_by_hour_local,21,share_bal_above_da,0.5097529258777633
spread_by_hour_local,22,n_hours,769.0
spread_by_hour_local,22,mean_pln,-8.812347204161247
spread_by_hour_local,22,median_pln,9.827500000000043
spread_by_hour_local,22,mean_abs_pln,106.22651495448635
spread_by_hour_local,22,share_bal_above_da,0.5578673602080624
spread_by_hour_local,23,n_hours,769.0
spread_by_hour_local,23,mean_pln,-16.417272431729522
spread_by_hour_local,23,median_pln,4.715000000000032
spread_by_hour_local,23,mean_abs_pln,110.16419700910274
spread_by_hour_local,23,share_bal_above_da,0.5201560468140443
spread_by_year_local,2024,n_hours,4825.0
spread_by_year_local,2024,mean_pln,-33.62030103626943
spread_by_year_local,2024,median_pln,-2.490000000000009
spread_by_year_local,2024,mean_abs_pln,154.40172590673575
spread_by_year_local,2024,share_bal_above_da,0.4584455958549223
spread_by_year_local,2025,n_hours,8760.0
spread_by_year_local,2025,mean_pln,-4.540371004566209
spread_by_year_local,2025,median_pln,7.983749999999986
spread_by_year_local,2025,mean_abs_pln,146.98100570776253
spread_by_year_local,2025,share_bal_above_da,0.5323059360730593
spread_by_year_local,2026,n_hours,4871.0
spread_by_year_local,2026,mean_pln,-20.132545165263807
spread_by_year_local,2026,median_pln,7.444999999999936
spread_by_year_local,2026,mean_abs_pln,154.85049733114352
spread_by_year_local,2026,share_bal_above_da,0.5386984192157668
miss_cost,ens_crps_cqr_tft,n_hours,17456.0
miss_cost,ens_crps_cqr_tft,mae_pln,71.85708866389915
miss_cost,ens_crps_cqr_tft,naive_cost_bound_pln,149.34915158111824
miss_cost,ens_crps_cqr_tft,mean_cost_pln,-8.138452681026582
miss_cost,ens_crps_cqr_tft,median_cost_pln,0.0
miss_cost,ens_crps_cqr_tft,share_costly_hours,0.4998854262144821
miss_cost,ens_crps_cqr_tft,share_under_forecast,0.5433661778185152
miss_cost,ens_crps_cqr_tft,mean_cost_under_pln,-20.22758803373748
miss_cost,ens_crps_cqr_tft,mean_cost_over_pln,6.246875235227698
miss_cost,ens_crps_cqr_tft,p95_cost_pln,298.5
miss_cost,lgbm_quantile_conformal,n_hours,17672.0
miss_cost,lgbm_quantile_conformal,mae_pln,75.97643142730756
miss_cost,lgbm_quantile_conformal,naive_cost_bound_pln,150.1344529481666
miss_cost,lgbm_quantile_conformal,mean_cost_pln,-8.708922730873699
miss_cost,lgbm_quantile_conformal,median_cost_pln,0.0
miss_cost,lgbm_quantile_conformal,share_costly_hours,0.49541647804436395
miss_cost,lgbm_quantile_conformal,share_under_forecast,0.5330466274332277
miss_cost,lgbm_quantile_conformal,mean_cost_under_pln,-21.04104989384289
miss_cost,lgbm_quantile_conformal,mean_cost_over_pln,5.368711524478913
miss_cost,lgbm_quantile_conformal,p95_cost_pln,297.607
