model,mae,rmse,mape_pct,pinball_p10,pinball_p50,pinball_p90,n_hours,skill_vs_naive
tso_forecast,419.2814931340872,558.2126178823056,2.3182073313998637,,209.6407465670436,,8666,0.5930522187391322
ridge,713.3286718475399,955.6835200464644,3.9970828196803283,168.0152701854403,356.66433592376995,176.24100929672178,8666,0.30765482123179855
lasso_ar,746.8376748954483,1009.8672818717412,4.134858127157228,176.15329683106026,373.4188374477242,190.52970330924055,8666,0.27513152920505257
seasonal_naive,1030.307848921071,1544.2843590083169,5.622907276492685,355.7995415318486,515.1539244605354,283.3161440918532,8666,0.0
climatology,1627.5406986354722,2195.449152184534,8.585931355335989,309.41126431946685,813.7703493177361,429.9134662497114,8666,-0.5796644666347228
