,lgbm,lear,chronos
2024-07-16,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-07-17,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-07-18,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-07-19,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-07-20,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-07-21,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-07-22,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-07-23,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-07-24,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-07-25,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-07-26,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-07-27,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-07-28,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-07-29,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-07-30,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-07-31,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-01,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-02,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-03,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-04,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-05,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-06,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-07,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-08,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-09,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-10,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-11,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-12,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-13,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-14,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-15,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-16,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-17,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-18,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-19,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-20,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-21,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-22,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-23,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-24,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-25,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-26,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-27,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-28,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-29,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-30,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-08-31,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-09-01,0.3333333333333333,0.3333333333333333,0.3333333333333333
2024-09-02,0.33660062951414055,0.33044545855665725,0.33295391192920226
2024-09-03,0.3355920640942177,0.33053440535710527,0.3338735305486769
2024-09-04,0.3339049759043916,0.32738719144080347,0.3387078326548049
2024-09-05,0.33314971406308336,0.3266840454674537,0.340166240469463
2024-09-06,0.3344526317772852,0.3294815062829317,0.3360658619397831
2024-09-07,0.33447263706887415,0.32976332733616853,0.3357640355949572
2024-09-08,0.33476854910685894,0.3296288715350541,0.3356025793580869
2024-09-09,0.33422403994087163,0.3299503902640907,0.3358255697950377
2024-09-10,0.3351435791388124,0.3307742622147927,0.3340821586463949
2024-09-11,0.3366821648936378,0.33094906933033386,0.33236876577602836
2024-09-12,0.33638552667381555,0.331734918692569,0.33187955463361546
2024-09-13,0.3371334723502682,0.3321428104484468,0.33072371720128496
2024-09-14,0.3383745448087498,0.33443887891269175,0.3271865762785584
2024-09-15,0.34011332182427345,0.33596360510719914,0.3239230730685274
2024-09-16,0.3430892869040569,0.33742208782989747,0.31948862526604555
2024-09-17,0.3472009229924879,0.3372544012479737,0.3155446757595384
2024-09-18,0.34888221428885097,0.33683904013430227,0.3142787455768467
2024-09-19,0.3485770745235949,0.33798667666497706,0.313436248811428
2024-09-20,0.3475425526395273,0.3403500396844919,0.31210740767598066
2024-09-21,0.3473432085368755,0.3384204321898443,0.3142363592732801
2024-09-22,0.34796822129550536,0.3373643480736514,0.31466743063084307
2024-09-23,0.34832813855204414,0.335406622469859,0.31626523897809694
2024-09-24,0.3477903048752544,0.3362436640226011,0.31596603110214455
2024-09-25,0.34927923652372284,0.3366770172558081,0.31404374622046904
2024-09-26,0.34805597494713736,0.3357976100503345,0.3161464150025281
2024-09-27,0.347480131688826,0.33519279874794544,0.3173270695632285
2024-09-28,0.34483194667402456,0.33428511632598346,0.32088293699999204
2024-09-29,0.3460591342540199,0.3351980552467599,0.3187428104992202
2024-09-30,0.3458058578427169,0.3366593889969855,0.3175347531602978
2024-10-01,0.34712021357400347,0.3371497454571101,0.3157300409688864
2024-10-02,0.3465132310921767,0.3363311225959848,0.3171556463118384
2024-10-03,0.34570880432093415,0.336708591088775,0.3175826045902909
2024-10-04,0.3465265177863403,0.33598818073093223,0.3174853014827276
2024-10-05,0.3479118099358545,0.33592888671387305,0.31615930335027237
2024-10-06,0.3489563576301261,0.3369206615927615,0.31412298077711226
2024-10-07,0.34892673286192516,0.33726278832935047,0.3138104788087244
2024-10-08,0.34891215422455746,0.3370877931002642,0.3140000526751783
2024-10-09,0.35096851026480863,0.33789916281598487,0.3111323269192064
2024-10-10,0.35076000802081997,0.3389832800076161,0.3102567119715639
2024-10-11,0.352842874224587,0.34132337486445175,0.3058337509109612
2024-10-12,0.35282059885990497,0.34265131363939566,0.3045280875006994
2024-10-13,0.35317016341608265,0.3443312665983302,0.30249856998558716
2024-10-14,0.356017183210112,0.3435362001262823,0.3004466166636056
2024-10-15,0.35743168707405626,0.3428716115372212,0.2996967013887226
2024-10-16,0.3582621580422519,0.34248234730491134,0.2992554946528368
2024-10-17,0.35867298451876084,0.3431761343267567,0.29815088115448246
2024-10-18,0.35749756887961015,0.3425539599141197,0.29994847120627016
2024-10-19,0.35750745742446577,0.34274288087086935,0.29974966170466494
2024-10-20,0.3569544037173363,0.34348245254550364,0.29956314373716014
2024-10-21,0.35614900801019045,0.3419951489765336,0.30185584301327595
2024-10-22,0.3573158313250159,0.34108431679376056,0.3015998518812237
2024-10-23,0.35719950195407085,0.3402377955256033,0.3025627025203259
2024-10-24,0.3555835357278478,0.34153196243314743,0.3028845018390048
2024-10-25,0.35467276135080217,0.3433563189238726,0.3019709197253252
2024-10-26,0.3536523900552564,0.34208684194690125,0.30426076799784235
2024-10-27,0.35355773030709897,0.3426729328529522,0.3037693368399489
2024-10-28,0.3534796320447103,0.34393215709506714,0.30258821086022253
2024-10-29,0.3522971027687966,0.3446537189155202,0.3030491783156831
2024-10-30,0.3540418058114636,0.34368415012844644,0.30227404406008995
2024-10-31,0.3554237585360489,0.34319161680145255,0.30138462466249855
2024-11-01,0.3567544371777404,0.34677347092674726,0.2964720918955124
2024-11-02,0.3584326504620021,0.346869437425957,0.29469791211204077
2024-11-03,0.36060444938933495,0.3492616173999446,0.2901339332107204
2024-11-04,0.36233552798613233,0.34963312033821015,0.2880313516756575
2024-11-05,0.36208580669669777,0.34723313481221163,0.29068105849109055
2024-11-06,0.3641678130003447,0.344211636713415,0.2916205502862403
2024-11-07,0.36220218687428896,0.34175512920675805,0.29604268391895294
2024-11-08,0.36386016496254814,0.3425804298120739,0.29355940522537793
2024-11-09,0.36464531849218806,0.3437086392688733,0.29164604223893864
2024-11-10,0.3638227004002076,0.34389170923859025,0.29228559036120216
2024-11-11,0.36412601282678375,0.34289352744799145,0.2929804597252247
2024-11-12,0.36320049639863955,0.34358655678731675,0.2932129468140438
2024-11-13,0.3611785799058978,0.34441665138589966,0.2944047687082024
2024-11-14,0.3609467461420895,0.34422457577507815,0.2948286780828324
2024-11-15,0.36285234578181663,0.3454749917729312,0.29167266244525225
2024-11-16,0.3636740396551353,0.34603372791942805,0.2902922324254366
2024-11-17,0.36448413901019905,0.3475343937715153,0.28798146721828566
2024-11-18,0.36455777804377293,0.34579762960436966,0.28964459235185736
2024-11-19,0.36294874622890744,0.3454529695336718,0.2915982842374208
2024-11-20,0.36283105849496,0.345844188621799,0.291324752883241
2024-11-21,0.36154974869011447,0.34600676360398336,0.29244348770590217
2024-11-22,0.3596531081865777,0.346225330212995,0.2941215616004274
2024-11-23,0.35954443104126255,0.3463948221425295,0.29406074681620803
2024-11-24,0.3598377983835347,0.3466686363309281,0.2934935652855371
2024-11-25,0.36223560013680023,0.34668586436978244,0.29107853549341733
2024-11-26,0.3626037625155006,0.34509343530810377,0.29230280217639565
2024-11-27,0.36265269071378436,0.34348570281869467,0.2938616064675209
2024-11-28,0.3639611125019975,0.3411164542651132,0.2949224332328893
2024-11-29,0.3664151663847836,0.34148374861576547,0.292101084999451
2024-11-30,0.3661814521999892,0.3404157083221929,0.29340283947781787
2024-12-01,0.36631725337945925,0.3393927895166897,0.294289957103851
2024-12-02,0.36642019647082563,0.33940930168106304,0.29417050184811133
2024-12-03,0.36360804667812185,0.3415685982134961,0.294823355108382
2024-12-04,0.36359469865008365,0.340911731279128,0.2954935700707883
2024-12-05,0.3620176947770983,0.33969386289582343,0.2982884423270783
2024-12-06,0.36399092636898234,0.33674742871635205,0.29926164491466556
2024-12-07,0.3640213438467168,0.3366895640439819,0.29928909210930127
2024-12-08,0.36398583428498,0.33514215316956286,0.3008720125454571
2024-12-09,0.3645095463938768,0.3345892677488893,0.300901185857234
2024-12-10,0.3635832254660116,0.3340027523224318,0.30241402221155667
2024-12-11,0.3641544027025407,0.3335130902903975,0.30233250700706177
2024-12-12,0.3637361278157219,0.3329747758517408,0.3032890963325374
2024-12-13,0.3634643351276387,0.3316509760991872,0.30488468877317415
2024-12-14,0.36050747962407587,0.3333573385819404,0.30613518179398375
2024-12-15,0.3613200771596206,0.3345718599471319,0.3041080628932475
2024-12-16,0.36054056806018947,0.3327176036317072,0.30674182830810326
