model,mae,rmse,rmae,coverage_80_pct,spike_mae,n_hours
lgbm_quantile_conformal,17.867046504925174,28.776150752910848,0.6397746252189075,78.69162087912088,60.70402876170732,17472
lear_conformal,18.231774532831405,32.777059676931486,0.6528346313758411,79.37271062271061,69.95138634804626,17472
tft_hpo_ens3,19.713059121948657,32.23905275548776,0.7058757589390225,79.5558608058608,74.72476643542676,17472
tft_hpo_seed7,20.689791042822186,33.54480362217046,0.7408501067386968,78.30815018315019,77.45491309648247,17472
tft_hpo_seed42,20.772448188376515,33.33239996185879,0.7438098541319835,75.0915750915751,71.5050520251381,17472
tft_hpo_seed99,20.794283443222117,33.598890660609015,0.7445917204567593,76.6426282051282,78.31457785355418,17472
price_naive_yesterday,27.982204613437645,44.25521766226558,1.0019733515791747,52.85027472527473,78.16205388180765,17472
