model,mae,rmse,pinball_p10,pinball_p50,pinball_p90,coverage_80_pct,winkler,spike_mae,spike_cover_pct,n_hours,dm_p_vs_invcrps
ens4_invcrps,16.89245676467026,27.625585736279263,3.8194345399937095,8.44622838233513,4.441501347298643,80.02978918423464,82.60935887292352,63.13349156276114,53.379152348224515,17456,1.0
ens4_boa,18.407193356494943,29.433959619192706,4.365718296872639,9.203596678247472,4.846126241063352,79.65169569202565,92.11844537935991,60.4291411680099,54.41008018327606,17456,
