design,mape_pct,mae_mw,coverage_80_pct,n_hours
(a) ridge + national TSO feature,7.783008655525056,34.57694593007593,78.5795713634291,8772
"(a-) ridge, no TSO",7.889481582929541,34.885209602210686,79.28636570907432,8772
(b) share x TSO forecast,8.417198398627967,38.7516664900168,80.43775649794802,8772
(c) seasonal naive,9.492802763924322,42.454661854014134,53.0437756497948,8772
