model,mae,rmse,pinball_p10,pinball_p50,pinball_p90,coverage_80_pct,winkler,spike_mae,spike_cover_pct,n_hours,rmae,eur_per_day,capture_rate,perfect_eur_per_day,n_days
ens4_tft,16.87878247806367,27.62634143771189,3.8229113215325627,8.439391239031835,4.434109467111538,80.02978918423464,82.57020788644103,63.190440636368116,53.264604810996566,17456,0.6042303904844477,206.08563044241572,0.9307725480392185,221.41352457865165,712.0
ens3,17.354777670633297,28.17337788285794,4.070312188221748,8.677388835316648,4.477287445041714,79.93240146654446,85.47599633263461,62.13207027637681,54.75372279495991,17456,0.6212701717274879,205.33312096207865,0.9273738871770643,221.41352457865165,712.0
price_naive_yesterday,27.934348791246563,44.188628701052785,7.325604592976628,13.967174395623282,7.116922371963794,53.00183318056828,144.42526964940424,77.78483676975945,36.769759450171826,17456,1.0,180.02672770365166,0.8130791831539707,221.41352457865165,712.0
