model,mae_eur,bias_eur,below_p10_pct,above_p90_pct,worst_hour_local,worst_hour_mae,worst_day
LightGBM,17.848809002338175,-1.9356621875900226,22.59725400457666,25.966819221967963,19,29.30858288949651,2026-01-12
LEAR,18.460772095265447,-3.5456114869663335,10.966819221967963,16.956521739130434,19,29.20256527076548,2026-01-12
naive-1d,27.959624570938214,0.022004719679634,23.381006864988557,23.47826086956522,19,41.6985219478738,2026-01-12
naive-7d,34.009784610983985,0.07576372997711672,22.91762013729977,23.392448512585812,19,49.86325788751715,2026-01-08
