,eur_per_day,total_eur,capture_rate,loss_days_pct,n_days
perfect,221.465637966805,160119.65625,1.0,0.0,723.0
ens_crps_cqr,205.5745963001383,148630.43312499998,0.9282460167972036,1.3831258644536653,723.0
lgbm,202.64238347164593,146510.44325,0.9150059816594193,1.5214384508990317,723.0
lear,201.89537413554635,145970.3555,0.9116329557446199,1.5214384508990317,723.0
chronos,197.34060701936377,142677.258875,0.8910664825075154,2.627939142461964,723.0
timesfm,195.05108316044257,141021.93312499998,0.8807284279003065,2.627939142461964,723.0
naive,180.31600484094054,130368.4715,0.8141940505820939,4.426002766251729,723.0
