,eur_per_day,total_eur,capture_rate,loss_days_pct,n_days
perfect,221.28419389901822,157775.63025,1.0,0.0,713.0
ens_crps_cqr,204.50611360448806,145812.859,0.9241785868258321,1.6830294530154277,713.0
lgbm,202.17760045582048,144152.629125,0.9136558598852437,2.1037868162692845,713.0
lear,200.96710887096773,143289.548625,0.9081855569073223,1.5427769985974753,713.0
chronos,196.96302191444602,140434.634625,0.8900907852656162,2.664796633941094,713.0
timesfm,194.6413869214586,138779.308875,0.8795991412304943,2.664796633941094,713.0
naive,179.83352173913042,128221.30099999999,0.8126812790849238,4.488078541374474,713.0
