model,mae,rmse,pinball_p10,pinball_p50,pinball_p90,coverage_80_pct,winkler,spike_mae,spike_cover_pct,n_hours,rmae
ens_crps,17.33829263895661,28.08580490646312,4.103753122110569,8.669146319478305,4.445930003186635,83.85510849909585,85.49683125297204,61.544491297096236,55.81920903954802,17696,0.6218597039431932
ens_crps_cqr,17.33829263895661,28.08580490646312,4.0594999983170865,8.669146319478305,4.464593968030756,79.85985533453888,85.24093966347843,61.544491297096236,55.028248587570616,17696,0.6218597039431932
ens_equal,17.45414284261551,28.229584324574052,4.139051815159229,8.727071421307755,4.481966411985398,84.00203435804701,86.21018227144627,61.683662735104654,55.59322033898305,17696,0.6260148174165472
lgbm,17.842228565963644,28.596619279689353,4.249410120113208,8.921114282981822,4.782307646628329,78.62793851717902,90.31717766741538,60.44877285122282,51.9774011299435,17696,0.6399340006978125
lear,18.46155969293866,32.83504628324685,4.357764329766709,9.23077984646933,4.526857907793941,79.50949367088607,88.8462223756065,70.76158174699609,52.76836158192091,17696,0.662147091645311
chronos,21.93097731054799,34.78051094571617,5.378409252209653,10.965488655273996,5.517305954662924,79.92766726943941,108.95715209258145,66.9283371578583,51.9774011299435,17696,0.7865821244059342
price_naive_yesterday,27.881357368896925,44.062373426316796,7.32622616693038,13.940678684448462,7.080090564251808,53.09109403254973,144.06316731182187,77.15350847457627,37.06214689265537,17696,1.0
