component,explained_var_pct,cumvar_pct
1,18.911174007643037,18.911174007643037
2,17.568014780759942,36.47918878840298
3,12.65849159978887,49.13768038819185
4,9.534650825010635,58.67233121320249
5,9.297529312387127,67.96986052558962
6,8.842744485266854,76.81260501085647
7,8.656076722583007,85.46868173343948
8,6.3879865435927305,91.8566682770322
9,5.664641542229699,97.5213098192619
10,1.5623364798991826,99.08364629916109
