config,mae,delta_vs_full
full,17.664,0.0
drop price_lags (29 cols),19.683,2.019
drop res_forecast (3 cols),21.784,4.12
drop tso_load_fcst (1 cols),18.248,0.584
drop load_lags (7 cols),17.588,-0.076
drop calendar (10 cols),18.05,0.386
