group,seed,mae,rmae,coverage_80_pct,spike_mae,n_hours,mean_val_pinball,wall_min
full,42,20.916581638458116,0.7630990612658238,72.21461187214612,76.51391580729725,8760,0.11701462647089592,8.8
encoder,42,20.60053612981648,0.7515687818382198,70.42237442922374,70.63836304338011,8760,0.12286207710321133,9.4
res_fcst,42,23.386156890799466,0.8531965059325,77.46575342465754,98.6640602390516,8760,0.1432626138512905,9.4
anchor168,42,21.299157114229246,0.7770565516182386,69.40639269406392,82.06402861921755,8760,0.11853034737018439,9.9
tso_load,42,21.21981560636546,0.7741619376121456,71.31278538812785,79.85249783241585,8760,0.12113417627719733,10.0
calendar,42,20.170261502775425,0.7358710846878487,72.22602739726027,81.93319546285831,8760,0.11566087603569031,11.5
full,7,20.28982614557275,0.7402331581975786,73.07077625570776,76.48665942884472,8760,0.11691920803143428,11.7
encoder,7,22.410621081400134,0.817606060359162,73.96118721461187,79.10372970163006,8760,0.12526697837389433,9.9
res_fcst,7,23.42402878479979,0.854578185179116,78.5730593607306,94.11546018347892,8760,0.1407955793234018,9.5
anchor168,7,20.834760201110143,0.7601139720619141,70.81050228310502,75.93433851825593,8760,0.11740272664106809,10.4
tso_load,7,20.549452203114825,0.7497050883731209,75.662100456621,77.01432681915422,8760,0.118862451842198,11.6
calendar,7,21.411723181284724,0.7811632962854688,78.10502283105023,79.69278788736422,8760,0.11606442871002051,10.5
full,2026,20.741634119025104,0.7567164558211248,73.52739726027397,78.63480796082378,8760,0.11704080036053291,9.5
encoder,2026,22.631003209414544,0.8256462553544259,66.5068493150685,72.68627032902688,8760,0.12415378999251586,9.9
res_fcst,2026,22.94866846838825,0.8372356280879654,76.07305936073058,93.02577644522331,8760,0.14444589672180322,8.9
anchor168,2026,20.673803419156705,0.7542417903002823,75.22831050228311,80.17695332148304,8760,0.11792781146673056,9.6
tso_load,2026,20.950657391709278,0.764342246015959,75.39954337899543,81.00371169834919,8760,0.12093722648345508,9.2
calendar,2026,21.00003691412869,0.7661437577474326,75.7648401826484,81.07794227774285,8760,0.11699850685321368,11.3
