config,seed,period,mae,rmae,coverage_80_pct,spike_mae,n_hours
tft730_2yr,42,pooled,20.19664917411385,0.7231919194078664,79.4757326007326,69.60057482616853,17472
tft730_2yr,42,2024,21.683457897806925,0.7184127143735829,83.06051587301587,80.22897134761999,4032
tft730_2yr,42,2025,18.83243747024606,0.7348887630502163,79.23553719008265,64.50271258642914,8712
tft730_2yr,42,2026,21.442461270172586,0.7089967330774497,76.86125211505922,71.21121955453093,4728
tft730_2yr,7,pooled,20.203777113476075,0.723447153239199,79.93360805860806,73.02761934956915,17472
tft730_2yr,7,2024,22.068250267240735,0.7311615910471297,81.37400793650794,84.39880830066036,4032
tft730_2yr,7,2025,18.6710399729621,0.7285906294535535,80.03902662993572,63.39234755349816,8712
tft730_2yr,7,2026,21.4380516930401,0.7088509300494393,78.51099830795262,79.75585527894869,4728
tft730_2yr,2026,pooled,20.538198085468768,0.735421938885108,78.66300366300366,73.50449579618616,17472
tft730_2yr,2026,2024,22.882851183187395,0.7581508128730284,80.43154761904762,89.94821117438892,4032
tft730_2yr,2026,2025,18.373443205406954,0.7169776600361918,78.51239669421489,60.47553592576893,8712
tft730_2yr,2026,2026,22.527560019710947,0.7448756118496034,77.43231810490694,80.46474339609911,4728
tft730_2yr_ens3,-1,pooled,19.521916144383262,0.6990314029453547,80.9065934065934,71.7840896585495,17472
tft730_2yr_ens3,-1,2024,21.25530260226083,0.7042271444568122,83.63095238095238,85.81219854222664,4032
tft730_2yr_ens3,-1,2025,17.956429926694476,0.700704759990581,80.56703397612488,62.28993043532066,8712
tft730_2yr_ens3,-1,2026,20.92832513980252,0.6919967799379039,79.20896785109983,76.5844723381976,4728
