config,seed,period,mae,rmae,coverage_80_pct,spike_mae,n_hours
patchtst730_2yr,42,pooled,22.402507774244736,0.8021782453680982,73.53479853479854,71.6389643350073,17472
patchtst730_2yr,42,2024,28.401472649082304,0.9409928598195567,78.57142857142857,76.39254811201945,4032
patchtst730_2yr,42,2025,19.832129591564392,0.7738992473609909,72.75022956841138,63.29314805057071,8712
patchtst730_2yr,42,2026,22.022919862266324,0.7281896438303618,70.68527918781726,83.9339498540822,4728
patchtst730_2yr,7,pooled,23.262919384341536,0.8329874513122332,75.2117673992674,74.10686724769715,17472
patchtst730_2yr,7,2024,28.514250067604912,0.9447293824601208,83.06051587301587,81.43176925810256,4032
patchtst730_2yr,7,2025,20.821969714659524,0.8125252820858178,71.70569329660239,64.27917299323126,8712
patchtst730_2yr,7,2026,23.28241773615029,0.7698350438919629,74.97884940778341,87.87319618836736,4728
patchtst730_2yr,2026,pooled,22.761436850081438,0.8150306054327734,77.23786630036629,74.69486992388623,17472
patchtst730_2yr,2026,2024,26.565572283003068,0.8801661147713034,79.19146825396825,79.92819015200776,4032
patchtst730_2yr,2026,2025,20.651545678446116,0.8058749103872646,77.81221303948577,63.76787353445631,8712
patchtst730_2yr,2026,2026,23.405070061110806,0.7738905530336454,74.5135363790186,90.39454579928757,4728
patchtst730_2yr_ens3,-1,pooled,22.24957277773064,0.7967020224204113,77.13484432234432,73.22393355450315,17472
patchtst730_2yr_ens3,-1,2024,27.16636974202262,0.9000716360842412,82.68849206349206,79.45007570474455,4032
patchtst730_2yr_ens3,-1,2025,19.723260110009143,0.7696508881796337,76.12488521579431,63.41189835854627,8712
patchtst730_2yr_ens3,-1,2026,22.711652008095367,0.7509626284800984,74.25972927241963,87.15249146151643,4728
