group,seed,mae,rmae,coverage_80_pct,spike_mae,n_hours,mean_val_pinball,wall_min
calendar,42,20.581515092126853,0.7508748378536747,74.61187214611871,81.90006974660099,8760,0.1226740680061853,0.9
res_fcst,42,26.02117161000918,0.9493296740288328,74.17808219178083,92.81716690272502,8760,0.1537167326762126,1.1
solar,42,22.79557928818655,0.8316504798203785,74.60045662100457,80.3011406502223,8760,0.1395287565313852,1.1
wind_on,42,23.57392349755274,0.8600467897803656,76.59817351598174,95.3576513309566,8760,0.1463575896162253,1.0
tso_load,42,21.481474756510835,0.7837080410481116,72.96803652968038,94.24410811611509,8760,0.1317133783147885,1.0
anchor168,42,20.269534497822804,0.7394928585818398,73.81278538812785,86.27329202521337,8760,0.1209037859852497,1.1
encoder,42,23.19071459793718,0.8460661902436003,77.8082191780822,81.50975619033046,8760,0.1308875278784678,1.3
calendar,7,20.786116686973397,0.7583393120999741,74.98858447488584,74.82422952730361,8760,0.1209154513019781,1.1
res_fcst,7,25.081049731598597,0.9150312339064982,76.4269406392694,91.53915577230931,8760,0.1525580212473869,1.2
solar,7,23.425293921274683,0.8546243411176461,71.15296803652969,81.0340339465555,8760,0.1369177160354761,1.2
wind_on,7,25.79323034350948,0.941013699196222,75.28538812785388,98.24722761249978,8760,0.1452861027075694,1.1
tso_load,7,20.610092893173704,0.7519174409677417,76.89497716894978,90.15113648088013,8760,0.1279466335590069,1.1
anchor168,7,20.47325763505561,0.7469252840836553,72.13470319634703,79.12316038227516,8760,0.1201939806342125,1.2
encoder,7,22.309258942016186,0.8139080682709341,77.08904109589041,78.108555329902,8760,0.1300282627344131,1.2
calendar,2026,20.5961412099725,0.7514084421008169,77.2945205479452,76.47010657811275,8760,0.1206743447826458,1.1
res_fcst,2026,26.979916291850888,0.984307529366429,75.62785388127854,91.26270890257676,8760,0.1562641526644046,1.1
solar,2026,23.40703697394454,0.8539582734202553,72.67123287671234,79.3292291092546,8760,0.132418505847454,1.4
wind_on,2026,24.244665191632972,0.8845174401931166,80.15981735159818,90.88045763059296,8760,0.1473159864544868,1.0
tso_load,2026,22.518543719914405,0.821543398953158,78.67579908675799,91.69055354427528,8760,0.132557074037882,1.0
anchor168,2026,20.457782565112527,0.7463607075409531,77.14611872146119,84.04383200449486,8760,0.1212746672905408,1.1
encoder,2026,22.68530453393666,0.82762732905397,76.78082191780821,80.07600327861908,8760,0.1295884692898163,1.3
full,42,20.53073410596804,0.7490221965599035,72.94520547945206,81.85839757283529,8760,0.12259777062214337,0.8
full,7,20.206451419447113,0.7371914004027587,74.20091324200914,80.11781854289852,8760,0.11951127992226528,0.8
full,2026,20.07785061912014,0.7324996610113128,77.67123287671232,79.45893374508375,8760,0.120558829834828,0.9
