feature,delta_pinball,delta_pinball_std,delta_mae_eur,delta_mae_std
enc_price_history,0.17485899478197098,0.00561186671257019,25.5787353515625,0.7721023559570312
solar_fcst_mw,0.12105973064899445,0.011673741042613983,16.353906631469727,1.4953899383544922
tso_load_fcst,0.10003853589296341,0.0016593784093856812,14.607419967651367,0.28869056701660156
wind_on_fcst_mw,0.05687207728624344,0.008975133299827576,8.148797988891602,0.8648586273193359
price_anchor_lag168,0.0032771602272987366,0.0006830096244812012,0.46771717071533203,0.0713510513305664
is_weekend,0.0023525208234786987,0.00042998045682907104,0.6459770202636719,0.09244155883789062
is_holiday,0.0009333118796348572,3.390759229660034e-05,0.0873250961303711,0.03344249725341797
doy_sin,0.00013492628931999207,2.6848167181015015e-05,0.05166053771972656,0.025119781494140625
hour_sin,0.0,0.0,0.0,0.0
hour_cos,0.0,0.0,0.0,0.0
wind_off_fcst_mw,0.0,0.0,0.0,0.0
doy_cos,-0.00021788105368614197,2.078339457511902e-05,-0.10319232940673828,0.012192726135253906
is_bridge_day,-0.0002423711121082306,0.0002524815499782562,-0.04588508605957031,0.04346466064453125
